,Controller,Reason,Date,Time,Corr,RPM,Pwr,TotRun,Q,PF,LChr,Gfrq,Vg1,Vg2,Vg3,Vg12,Vg23,Vg31,Ig1,Ig2,Ig3,Bfrq,Vb1,Vb2,Vb3,Vb12,Vb23,Vb31,FC,FMI,OC,SRO,VRO,UBat,CPUT,D+,OilP,Wtmp,Flev,BIN,BOUT,Mode,Erpm,Eflr,Eclt,Eint,Eoil,Einp,Eld,EA8,EA9,EA10,EA11,EA12,EA13,EBI1,EBI2,EBO1,GL16,DEFl,Soot,kWhour,EA14,EA15,EA16,EBO2,Reg16,CAN16
-256,C03 - SGC 1618,Time stamp,44551,1:20:00.3,0,1500,196,1095,247,0.62,L,50,240,239,239,415,414,415,454,435,413,50,239,240,239,417,416,417,0,0,0,0.016,47.8,27.4,41.4,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1500,52.3,76,30,4.64,0.46,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2896413,,,,,,
-257,C05 - SGC1616,Time stamp,44551,1:20:00.2,0,1500,195,1085,245,0.62,L,50,239,240,239,414,414,416,467,445,430,50,240,240,239,417,416,417,0,0,0,0.002,49.6,27.1,44.4,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1500,51.9,76,35,4.56,0.46,#####,,,,,,,10111100,,11100,10111110 00000000,,,2823355,,,,,,
-258,C06 - SGB 1601,Time stamp,44551,1:20:00.1,0,1499,185,1089,228,0.63,L,50,240,240,240,416,416,417,448,390,384,50,240,240,241,418,418,419,0,0,0,0.028,52.7,28.3,53.2,28.3,#####,#####,50,10010000 0100,01001100 0011,AUT,1501,58.6,87,47,3.36,0.4,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-259,C01 - SGB 1603,Time stamp,44551,1:20:00.1,0,1500,163,1094,201,0.63,L,50,240,240,240,415,415,417,378,344,373,50,240,239,240,418,416,418,0,0,0,0.066,53.8,27.9,47.3,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,44.2,87,43,3.96,0.3,37,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-260,C06 - SGB 1601,Time stamp,44551,1:19:00.3,0,1498,178,1075,229,0.61,L,50,240,240,240,416,416,417,445,387,384,50,240,240,240,419,418,418,0,0,0,-0.012,52.6,28.3,53.2,28.2,#####,#####,50,10010000 0100,01001100 0011,AUT,1499,57.4,87,47,3.32,0.38,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-261,C01 - SGB 1603,Time stamp,44551,1:19:00.3,0,1499,155,1064,202,0.61,L,50,240,240,240,415,415,416,370,341,367,50,240,240,240,417,417,417,0,0,0,0.07,53.8,27.9,47.3,28,#####,#####,#####,10010001 0100,01001100 0011,AUT,1501,44.4,87,43,4.04,0.3,35,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-262,C07 - SGJ-1500,Time stamp,44551,1:19:00.2,0,1502,158,1070,199,0.62,L,50,240,240,240,415,415,416,348,366,348,50,241,239,239,417,417,418,0,0,0,0.068,53.5,28.2,44.9,28.4,,,,01100001 0000,01010001 0010,AUT,1501,38.9,86,38,4.28,0.44,32,38,#####,#####,27.4,,,11110000,,0,10111110 00000000,,,,,,,,,
-263,C04 - SGC 1615,Time stamp,44551,1:19:00.2,0,1500,191,1070,246,0.61,L,50,240,240,240,416,415,416,457,433,409,50,240,239,239,417,416,417,0,0,0,0,47.3,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1499,49.8,76,31,4.36,0.44,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
-264,C03 - SGC 1618,Time stamp,44551,1:19:00.2,0,1501,198,1065,246,0.63,L,50,240,239,239,415,415,415,463,443,426,50,239,240,239,416,416,417,0,0,0,-0.002,47.8,27.4,41.4,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1498,49.7,76,30,4.56,0.46,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2896410,,,,,,
-265,C05 - SGC1616,Time stamp,44551,1:19:00.1,0,1499,189,1070,245,0.61,L,50,240,240,239,415,414,416,451,428,417,50,240,240,238,417,416,416,0,0,0,-0.004,49.6,27.1,44.4,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1500,50.9,76,36,4.44,0.46,#####,,,,,,,10111100,,11100,10111110 00000000,,,2823352,,,,,,
-266,C06 - SGB 1601,Time stamp,44551,1:18:00.3,0,1500,204,1189,237,0.65,L,50,240,240,241,415,416,418,484,421,417,50,240,239,241,418,417,419,0,0,0,0.024,52.6,28.3,53.2,28.3,#####,#####,50,10010000 0100,01001100 0011,AUT,1499,61.9,87,48,3.28,0.46,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-267,C01 - SGB 1603,Time stamp,44551,1:18:00.3,0,1500,174,1175,210,0.64,L,50,240,240,240,415,416,416,395,364,392,50,240,240,240,417,417,418,0,0,0,-0.006,53.9,27.9,47.3,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,46.9,87,45,4,0.36,39,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-268,C07 - SGJ-1500,Time stamp,44551,1:18:00.2,0,1501,171,1176,206,0.64,L,50,240,240,240,415,415,417,368,385,367,50,241,239,239,417,417,418,0,0,0,0.068,53.7,28,44.9,28.2,,,,01100001 0000,01010001 0010,AUT,1500,43.1,86,39,4.12,0.5,34,38,#####,#####,27.7,,,11110000,,0,10111110 00000000,,,,,,,,,
-269,C03 - SGC 1618,Time stamp,44551,1:18:00.2,0,1499,211,1183,255,0.64,L,50,240,239,239,414,414,415,492,468,454,50,239,239,239,416,416,417,0,0,0,-0.016,47.9,27.4,41.4,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1500,56.1,76,31,4.56,0.52,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2896406,,,,,,
-270,C04 - SGC 1615,Time stamp,44551,1:18:00.1,0,1499,214,1187,255,0.64,L,50,240,240,240,416,415,416,493,466,444,50,240,239,239,416,417,417,0,0,0,-0.02,47.4,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1499,56,77,32,4.16,0.52,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
-271,C05 - SGC1616,Time stamp,44551,1:18:00.0,0,1500,211,1187,256,0.63,L,50,239,239,239,414,414,416,485,459,445,50,240,240,239,417,416,416,0,0,0,-0.014,49.6,27.1,44.4,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1499,54.8,78,37,4.32,0.52,#####,,,,,,,10111100,,11100,10111110 00000000,,,2823349,,,,,,
-272,C05 - SGC1616,Time stamp,44551,1:17:00.3,0,1500,287,1617,267,0.73,L,50,239,239,239,414,413,416,569,539,523,50,240,239,239,417,416,416,0,0,0,-0.028,49.6,27.1,44.4,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1499,76.6,79,38,4.28,0.76,#####,,,,,,,10111100,,11100,10111110 00000000,,,2823345,,,,,,
-273,C04 - SGC 1615,Time stamp,44551,1:17:00.3,0,1499,287,1620,271,0.72,L,50,240,239,240,416,414,416,571,541,518,50,240,239,239,417,416,417,0,0,0,-0.032,47.3,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1499,74.9,78,33,4.04,0.76,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
-274,C06 - SGB 1601,Time stamp,44551,1:17:00.2,0,1501,266,1619,251,0.73,L,50,240,240,240,416,416,418,563,491,479,50,240,239,241,419,418,419,0,0,0,0.056,52.6,28.3,53.2,28.2,#####,#####,47,10010000 0100,01001100 0011,AUT,1500,80.5,88,54,3.16,0.74,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-275,C01 - SGB 1603,Time stamp,44551,1:17:00.2,0,1500,246,1633,222,0.74,L,50,240,240,240,415,415,416,481,443,476,50,239,240,240,417,417,417,0,0,0,0.038,54,27.9,47.8,28,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,67.3,89,49,3.72,0.62,52,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-276,C07 - SGJ-1500,Time stamp,44551,1:17:00.1,0,1501,242,1625,226,0.73,L,50,240,240,240,416,415,416,452,473,451,50,241,239,239,417,417,418,0,0,0,0.042,54,28,44.9,28.2,,,,01100001 0000,01010001 0010,AUT,1500,59.6,86,41,4.16,0.8,47,38,#####,#####,27.5,,,11110000,,0,10111110 00000000,,,,,,,,,
-277,C03 - SGC 1618,Time stamp,44551,1:17:00.1,0,1500,289,1622,264,0.74,L,50,240,239,239,414,414,415,572,539,522,50,239,239,239,417,416,417,0,0,0,-0.026,47.8,27.4,41.4,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1499,74,78,32,4.44,0.76,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2896402,,,,,,
-278,C03 - SGC 1618,Time stamp,44551,1:16:00.3,0,1503,464,2542,321,0.82,L,50.1,240,239,239,414,414,415,832,795,759,50.1,239,240,239,416,416,417,0,0,0,-0.02,47.3,27.4,41.4,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1502,110.9,78,33,4.36,1.34,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2896396,,,,,,
-279,C06 - SGB 1601,Time stamp,44551,1:16:00.2,0,1499,456,2553,275,0.86,L,50.1,241,240,241,417,416,419,801,710,689,50.1,241,240,241,420,418,420,0,0,0,0.008,52.8,28.3,53.2,28.2,#####,#####,46,10010000 0100,01001100 0011,AUT,1503,117.3,89,56,3.04,1.82,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-280,C05 - SGC1616,Time stamp,44551,1:16:00.2,0,1502,447,2550,298,0.83,L,50.1,240,240,239,415,414,416,785,745,717,50.1,240,240,239,417,416,417,0,0,0,0.008,49.8,27.1,44.4,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1503,110.1,80,39,4.2,1.34,#####,,,,,,,10111100,,11100,10111110 00000000,,,2823338,,,,,,
-281,C04 - SGC 1615,Time stamp,44551,1:16:00.2,0,1501,460,2546,323,0.82,L,50.1,240,240,241,417,416,417,821,774,739,50.1,241,240,240,418,417,418,0,0,0,-0.018,46.9,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1502,110.2,79,34,4,1.28,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
-282,C01 - SGB 1603,Time stamp,44551,1:16:00.1,0,1502,368,2589,251,0.83,L,50,240,240,240,415,415,416,641,585,625,50,240,240,240,417,417,418,0,0,0,0.122,54.4,27.9,47.8,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1503,99.1,89,51,3.76,1.2,71,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-283,C07 - SGJ-1500,Time stamp,44551,1:16:00.0,0,1501,357,2568,260,0.81,L,50.1,241,240,240,416,416,417,597,621,598,50.1,241,239,239,418,417,418,0,0,0,0.102,54.3,27.9,45.4,28.1,,,,01100001 0000,01010001 0010,AUT,1503,87.8,87,42,4,1.36,65,38,#####,#####,27.5,,,11110000,,0,10111110 00000000,,,,,,,,,
-284,C07 - SGJ-1500,Time stamp,44551,1:15:00.3,0,1501,425,2860,271,0.84,L,50,241,240,240,416,415,416,676,714,689,50,241,239,239,418,417,418,0,0,0,0.082,54.6,27.9,44.9,28.1,,,,01100001 0000,01010001 0010,AUT,1501,103.8,87,42,3.96,1.6,74,38,#####,#####,27.4,,,11110000,,0,10111110 00000000,,,,,,,,,
-285,C03 - SGC 1618,Time stamp,44551,1:15:00.3,0,1499,504,2865,340,0.83,L,50,239,239,239,414,414,414,882,841,819,50,239,239,239,416,415,416,0,0,0,0.044,47.3,27.4,41.4,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1499,120,78,33,4.32,1.48,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2896387,,,,,,
-286,C05 - SGC1616,Time stamp,44551,1:15:00.2,0,1498,516,2872,320,0.85,L,50,239,240,239,415,414,415,866,828,797,50,239,239,239,416,416,416,0,0,0,-0.008,49.7,27.1,44.4,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1498,124.6,80,39,4.2,1.46,#####,,,,,,,10111100,,11100,10111110 00000000,,,2823330,,,,,,
-287,C06 - SGB 1601,Time stamp,44551,1:15:00.1,0,1499,486,2853,308,0.85,L,50,241,240,241,416,416,419,902,777,752,50,240,239,241,419,417,419,0,0,0,0.032,52.6,28.3,53.2,28.2,#####,#####,47,10010000 0100,01001100 0011,AUT,1500,123,88,57,3,2.04,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-288,C04 - SGC 1615,Time stamp,44551,1:15:00.1,0,1500,508,2858,341,0.83,L,50,240,240,240,416,414,416,917,865,835,50,240,239,239,417,417,417,0,0,0,0.044,47.2,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1499,117.9,79,34,4.04,1.42,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
-289,C01 - SGB 1603,Time stamp,44551,1:15:00.1,0,1502,429,2865,273,0.84,L,50.1,240,240,239,415,415,416,726,669,710,50.1,239,240,240,417,417,417,0,0,0,0.01,54.2,27.9,47.8,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1502,114.6,89,51,3.72,1.52,79,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-290,C07 - SGJ-1500,Time stamp,44551,1:14:00.3,0,1505,394,2721,275,0.82,L,50.1,241,241,240,417,416,418,647,685,649,50.1,242,240,240,418,418,419,0,0,0,0.07,54.4,28.2,45.4,28.5,,,,01100001 0000,01010001 0010,AUT,1503,94.6,87,42,4,1.52,69,38,#####,#####,27.5,,,11110000,,0,10111110 00000000,,,,,,,,,
-291,C06 - SGB 1601,Time stamp,44551,1:14:00.3,0,1502,472,2724,286,0.86,L,50.1,241,241,241,418,417,419,852,745,727,50.1,241,239,242,419,418,420,0,0,0,0.08,52.7,28.3,53.2,28.2,#####,#####,47,10010000 0100,01001100 0011,AUT,1504,121.1,88,58,3.04,1.96,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-292,C01 - SGB 1603,Time stamp,44551,1:14:00.3,0,1503,402,2752,261,0.84,L,50.1,240,241,240,416,416,417,696,639,683,50.1,240,240,240,418,417,418,0,0,0,0.012,54.2,27.9,47.8,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1504,105,89,52,3.68,1.4,77,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-293,C03 - SGC 1618,Time stamp,44551,1:14:00.2,0,1503,485,2746,342,0.82,L,50.1,240,239,239,414,414,415,882,836,810,50.1,239,239,239,416,416,417,0,0,0,0.028,47.3,27.4,41.4,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1502,115.1,78,33,4.36,1.44,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2896379,,,,,,
-294,C05 - SGC1616,Time stamp,44551,1:14:00.1,0,1502,503,2744,293,0.86,L,50.1,240,240,239,415,413,416,866,817,785,50.1,240,240,239,417,415,416,0,0,0,-0.012,49.9,27.1,44.4,0.4,#####,#####,#####,10100000 0000,10010001 0111,AUT,1503,119.7,80,39,4.2,1.44,#####,,,,,,,10111100,,11100,10111110 00000000,,,2823321,,,,,,
-295,C04 - SGC 1615,Time stamp,44551,1:14:00.1,0,1503,494,2758,338,0.82,L,50.1,240,240,240,417,415,417,867,817,782,50.1,240,239,240,417,417,417,0,0,0,0.02,47.1,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1502,116.8,79,34,4.08,1.36,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
-296,C06 - SGB 1601,Time stamp,44551,1:13:00.3,0,1503,494,2828,298,0.86,L,50.1,241,241,241,418,416,419,869,777,740,50.1,240,240,241,419,418,420,0,0,0,0.05,52.7,28.3,53.2,28.2,#####,#####,48,10010000 0100,01001100 0011,AUT,1501,126.9,88,59,3,2.16,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-297,C04 - SGC 1615,Time stamp,44551,1:13:00.3,0,1503,516,2824,345,0.83,L,50.1,241,240,240,417,415,417,932,883,845,50.1,240,240,240,418,417,418,0,0,0,0.014,47,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1503,120.6,79,34,4,1.4,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
-298,C01 - SGB 1603,Time stamp,44551,1:13:00.3,0,1501,413,2834,264,0.84,L,50.1,240,240,240,416,415,416,696,646,688,50.1,240,240,240,418,417,418,0,0,0,0.062,54.4,27.9,47.8,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1502,111.4,89,51,3.68,1.44,79,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-299,C07 - SGJ-1500,Time stamp,44551,1:13:00.2,0,1503,414,2861,273,0.84,L,50,240,240,240,415,415,417,682,709,676,50,241,239,239,417,417,418,0,0,0,0.078,54.5,27.8,44.9,28.1,,,,01100001 0000,01010001 0010,AUT,1502,99.1,87,42,4,1.58,72,38,#####,#####,27.5,,,11110000,,0,10111110 00000000,,,,,,,,,
-300,C03 - SGC 1618,Time stamp,44551,1:13:00.1,0,1501,501,2833,351,0.82,L,50.1,240,239,239,414,414,416,887,856,828,50.1,239,239,239,416,415,417,0,0,0,-0.02,47.2,27.4,41.4,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1504,121.5,78,33,4.4,1.5,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2896370,,,,,,
-301,C05 - SGC1616,Time stamp,44551,1:13:00.0,0,1500,493,2834,308,0.85,L,50.1,240,240,239,415,413,416,867,800,788,50.1,240,240,239,417,416,416,0,0,0,0.052,49.9,27.1,44.4,0.1,#####,#####,#####,10100000 0000,10010001 0111,AUT,1502,117.7,80,39,4.2,1.44,#####,,,,,,,10111100,,11100,10111110 00000000,,,2823313,,,,,,
-302,C05 - SGC1616,Time stamp,44551,1:12:00.3,0,1499,528,2992,352,0.83,L,50.1,240,240,239,415,414,416,942,896,873,50.1,240,240,239,417,416,416,0,0,0,0.018,49.5,27.1,44.4,0.8,#####,#####,#####,10100000 0000,10010001 0111,AUT,1503,126.9,80,39,4.16,1.54,#####,,,,,,,10111100,,11100,10111110 00000000,,,2823304,,,,,,
-303,C04 - SGC 1615,Time stamp,44551,1:12:00.3,0,1499,542,3029,334,0.85,L,50,239,239,240,416,414,415,922,877,843,50,240,239,239,416,417,416,0,0,0,0.03,47.8,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1499,128.3,79,34,4,1.46,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
-304,C06 - SGB 1601,Time stamp,44551,1:12:00.2,0,1500,479,2998,342,0.81,L,50,240,240,240,416,416,417,917,789,761,50,240,239,241,419,417,419,0,0,0,0.156,52.4,28.3,53.2,28.2,#####,#####,47,10010000 0100,01001100 0011,AUT,1499,122.1,88,59,3,1.96,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-305,C01 - SGB 1603,Time stamp,44551,1:12:00.2,0,1500,470,3019,292,0.85,L,50,240,240,239,415,414,416,795,729,776,50,239,240,240,417,416,417,0,0,0,-0.008,54.1,27.9,47.8,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1498,126,89,52,3.64,1.68,87,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-306,C07 - SGJ-1500,Time stamp,44551,1:12:00.1,0,1500,457,2997,275,0.86,L,50,241,240,240,416,415,417,716,759,718,50,241,239,239,418,417,418,0,0,0,0.076,54.8,27.9,45.4,28.2,,,,01100001 0000,01010001 0010,AUT,1500,114.6,87,42,4,1.76,79,38,#####,#####,27.4,,,11110000,,0,10111110 00000000,,,,,,,,,
-307,C03 - SGC 1618,Time stamp,44551,1:12:00.1,0,1498,527,3007,331,0.85,L,50,240,239,239,414,414,415,895,858,823,50,239,239,238,416,415,416,0,0,0,0.002,47.6,27.4,41.4,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1501,126.4,78,33,4.32,1.54,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2896362,,,,,,
-308,C06 - SGB 1601,Time stamp,44551,1:11:00.2,0,1502,487,2958,327,0.83,L,50.1,240,240,241,416,416,419,896,783,755,50.1,240,240,241,419,417,420,0,0,0,0.124,52.5,28.3,53.2,28.2,#####,#####,47,10010000 0100,01001100 0011,AUT,1503,124,88,57,3.04,2.02,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-309,C05 - SGC1616,Time stamp,44551,1:11:00.2,0,1502,519,2957,335,0.84,L,50.1,239,239,238,415,413,415,900,863,826,50.1,240,239,239,417,415,416,0,0,0,0.046,49.6,27.1,44.4,0.2,#####,#####,#####,10100000 0000,10010001 0111,AUT,1500,122.5,79,39,4.16,1.5,#####,,,,,,,10111100,,11100,10111110 00000000,,,2823296,,,,,,
-310,C04 - SGC 1615,Time stamp,44551,1:11:00.2,0,1503,532,2957,344,0.84,L,50.1,240,240,240,416,415,416,932,888,847,50.1,240,239,239,416,417,417,0,0,0,-0.002,47.7,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1501,122.7,79,34,3.96,1.44,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
-311,C07 - SGJ-1500,Time stamp,44551,1:11:00.1,0,1504,449,2969,280,0.85,L,50.1,241,241,240,416,416,417,722,740,718,50.1,241,239,240,418,417,418,0,0,0,0.082,54.7,28,44.9,28.2,,,,01100001 0000,01010001 0010,AUT,1502,110.3,87,42,3.96,1.76,77,38,#####,#####,27.4,,,11110000,,0,10111110 00000000,,,,,,,,,
-312,C01 - SGB 1603,Time stamp,44551,1:11:00.1,0,1503,452,2984,288,0.84,L,50.1,241,240,240,416,415,417,769,713,759,50.1,240,240,240,418,417,418,0,0,0,0.01,54.1,27.9,47.8,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1502,121.1,89,51,3.68,1.64,84,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-313,C03 - SGC 1618,Time stamp,44551,1:11:00.0,0,1501,532,2961,335,0.85,L,50.1,240,239,239,414,414,415,922,881,838,50.1,239,239,239,416,416,417,0,0,0,0.024,47.6,27.4,41.4,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1502,124.5,78,33,4.32,1.52,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2896353,,,,,,
-314,C07 - SGJ-1500,Time stamp,44551,1:10:00.3,0,1499,399,2733,261,0.84,L,50.1,241,240,240,417,416,417,638,670,653,50.1,241,240,239,418,418,418,0,0,0,0.066,54.6,28,44.9,28.3,,,,01100001 0000,01010001 0010,AUT,1501,97.8,87,41,4.04,1.52,72,38,#####,#####,27.4,,,11110000,,0,10111110 00000000,,,,,,,,,
-315,C03 - SGC 1618,Time stamp,44551,1:10:00.3,0,1499,490,2733,309,0.85,L,50.1,240,239,239,414,414,415,821,792,754,50.1,239,239,239,416,415,417,0,0,0,0.01,47.5,27.4,41.4,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1501,115.3,78,33,4.36,1.4,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2896345,,,,,,
-316,C05 - SGC1616,Time stamp,44551,1:10:00.2,0,1500,492,2745,317,0.84,L,50,239,239,239,414,414,416,829,792,759,50,239,239,239,416,415,416,0,0,0,0.028,49.7,27.1,44.4,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1499,120.3,79,39,4.2,1.4,#####,,,,,,,10111100,,11100,10111110 00000000,,,2823287,,,,,,
-317,C06 - SGB 1601,Time stamp,44551,1:10:00.1,0,1501,449,2727,304,0.83,L,50,241,240,241,417,416,418,848,730,712,50,240,240,241,419,418,419,0,0,0,0.078,52.6,28.3,53.2,28.2,#####,#####,48,10010000 0100,01001100 0011,AUT,1503,115.9,88,57,3.04,1.74,,,,,,,,,,,10111110 00000000,,,,,,,,11111110 00000000,11111110 00000000
-318,C04 - SGC 1615,Time stamp,44551,1:10:00.1,0,1501,486,2731,314,0.84,L,50,240,240,240,417,414,416,856,806,776,50,240,240,239,417,417,417,0,0,0,0,47.4,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1502,113.2,79,34,3.96,1.34,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
-319,C01 - SGB 1603,Time stamp,44551,1:10:00.1,0,1499,413,2747,270,0.84,L,50,240,240,240,415,415,417,724,665,711,50,240,240,240,418,417,418,0,0,0,0.046,54.2,27.9,47.3,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1501,111.2,89,51,3.76,1.42,78,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-320,C07 - SGJ-1500,Time stamp,44551,1:09:00.3,0,1500,468,3030,275,0.86,L,50,241,240,240,416,415,417,737,757,744,50,241,239,239,417,417,418,0,0,0,0.044,54.8,28,44.9,28.3,,,,01100001 0000,01010001 0010,AUT,1501,114.6,87,41,3.96,1.8,82,38,#####,#####,27.4,,,11110000,,0,10111110 00000000,,,,,,,,,
-321,C01 - SGB 1603,Time stamp,44551,1:09:00.3,0,1499,467,3006,291,0.85,L,50,240,241,240,416,415,417,790,736,777,50,240,240,240,417,417,417,0,0,0,-0.038,54,27.9,47.8,27.9,#####,#####,#####,10010001 0100,01001100 0011,AUT,1501,127.7,89,51,3.68,1.68,88,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111110 00000000,,,,,,,,,
-322,C03 - SGC 1618,Time stamp,44551,1:09:00.2,0,1499,540,3005,319,0.86,L,50,240,239,239,414,413,414,933,907,875,50,239,239,238,415,415,416,0,0,0,0.038,47.8,27.4,41.4,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1501,126.1,78,33,4.32,1.5,#####,,,,,,,10111100,,11100,10111110 00000000,#####,#####,2896337,,,,,,
-323,C05 - SGC1616,Time stamp,44551,1:09:00.1,0,1500,528,3010,356,0.83,L,50,240,240,239,415,413,416,922,871,853,50,239,239,239,417,415,416,0,0,0,0.04,49.3,27.1,44.4,0.4,#####,#####,#####,10100000 0000,10010001 0111,AUT,1500,126.5,79,38,4.16,1.5,#####,,,,,,,10111100,,11100,10111110 00000000,,,2823279,,,,,,
-324,C04 - SGC 1615,Time stamp,44551,1:09:00.1,0,1498,537,3032,326,0.85,L,50,240,240,240,416,414,416,902,854,812,50,240,239,239,417,417,416,0,0,0,0.008,48.1,27.4,36.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1498,125.7,78,34,4.08,1.44,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111110 00000000,,,,#####,#####,#####,0,,
