,Controller,Reason,Date,Time,Corr,RPM,Pwr,TotRun,Q,PF,LChr,Gfrq,Vg1,Vg2,Vg3,Vg12,Vg23,Vg31,Ig1,Ig2,Ig3,Bfrq,Vb1,Vb2,Vb3,Vb12,Vb23,Vb31,FC,FMI,OC,SRO,VRO,UBat,CPUT,D+,OilP,Wtmp,Flev,BIN,BOUT,Mode,Erpm,Eflr,Eclt,Eint,Eoil,Einp,Eld,EA8,EA9,EA10,EA11,EA12,EA13,EBI1,EBI2,EBO1,GL16,DEFl,Soot,kWhour,EA14,EA15,EA16,EBO2,VPI1,Reg16,CAN16
-177,C05 - SGP 1309,Other CB trip,44409,17:00:01.2,0,1483,526,,570,0.68,L,49.3,240,240,238,415,414,415,1152,1162,1119,49.3,242,241,241,420,420,420,0,0,0,-0.064,69.5,27.9,63.9,26.6,#####,#####,#####,00000000 0011,10010010 0001,AUT,1481,144.7,91,58,4.32,1.7,92,51,#####,#####,27.5,#####,#####,11110000,0,0,,51,275,,#####,#####,#####,0,0,,
-178,C04 - SGC 1615,Other CB trip,44409,17:00:01.2,0,1481,662,1797,661,0.71,L,49.3,228,227,227,395,393,395,1465,1429,1400,49.3,231,230,231,402,402,402,0,0,0,-0.012,55.3,27.3,58.6,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1479,163.5,95,55,3.68,1.7,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,00011100 00000000,,,,#####,#####,#####,0,,,
-179,C03 - SGC 1618,GCB opened,44409,17:00:01.2,0,1627,189,1826,163,0.76,L,54.1,292,287,293,500,500,511,0,0,0,49.3,230,230,230,401,400,401,0,0,0,0,50,27.3,60.5,0,#####,#####,#####,00000000 0000,10100101 0001,AUT,1623,179.8,91,52,3.6,2.12,#####,,,,,,,10111100,,11100,00011100 00000000,#####,#####,1992482,,,,,,,
-180,C02 - SGC 1617,Other CB trip,44409,17:00:01.2,0,128,0,1816,0,0, ,0,0,0,0,0,0,0,0,0,0,49.3,218,219,218,378,378,378,0,0,0,0,50,20.5,51.7,19.9,#####,#####,#####,10000000 1000,11000000 0000,AUT,136,0.1,#####,52,0,0,#####,#####,#####,#####,#####,#####,#####,0,0,10100,00011100 00000000,#####,#####,1364292,#####,#####,#####,0,,,
-181,C01 - SGB 1603,Other CB trip,44409,17:00:01.2,0,1494,0,1826,0,0, ,49.8,239,240,239,414,414,414,0,0,0,49.3,220,221,220,384,384,383,0,0,0,0,50,28,69.3,28.1,#####,#####,#####,00010001 0100,01101111 0001,AUT,1494,15.7,91,60,4.04,0.2,8,#####,#####,#####,#####,#####,#####,1111,11000000,0,00011100 00000000,,,,,,,,,,
-182,C03 - SGC 1618,Cooling,44409,17:00:01.1,0,1577,369,2369,319,0.76,L,53.8,290,302,288,518,513,495,0,0,0,49.4,233,234,234,407,407,408,0,0,0,0.288,59.3,27.3,60.5,0,#####,#####,#####,00000000 0000,10100101 0101,AUT,1600,182.8,91,52,3.6,2.12,#####,,,,,,,10111100,,11100,00111100 00000000,#####,#####,1992482,,,,,,,
-183,C03 - SGC 1618,BOC IDMT,44409,17:00:00.9,0,1485,724,2469,636,0.75,L,49.6,240,239,240,415,415,417,1459,1392,1322,49.6,239,239,239,417,416,418,0,0,0,0.094,58,27.3,60.5,0,#####,#####,#####,00100000 0000,10000101 0111,AUT,1489,182.3,91,52,3.56,2,#####,,,,,,,10111100,,11100,00111100 00000000,#####,#####,1992482,,,,,,,
-184,C03 - SGC 1618,Time stamp,44409,17:00:00.3,0,1480,701,2347,625,0.75,L,49.4,239,238,239,413,413,414,1388,1311,1274,49.4,238,238,238,414,414,416,0,0,0,0.066,57.6,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1481,175.4,91,52,3.68,1.82,#####,,,,,,,10111100,,11100,00111100 00000000,#####,#####,1992481,,,,,,,
-185,C01 - SGB 1603,Time stamp,44409,17:00:00.2,0,1547,1,2298,1,0.71,L,51.2,238,236,238,409,410,414,0,0,0,49.4,224,225,224,390,390,390,0,0,0,0,50,28,69.3,28.1,#####,#####,#####,00010001 0100,01101111 0001,AUT,1541,19.4,91,60,3.84,0.62,0,#####,#####,#####,#####,#####,#####,1111,11000000,0,00111100 00000000,,,,,,,,,,
-186,C06 - SGB 1601,Time stamp,44409,17:00:00.1,0,1486,598,2225,607,0.7,L,49.4,243,243,243,421,420,422,1213,1187,1201,49.4,243,242,243,423,421,422,0,0,0,0.252,60.3,28.3,65.9,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1481,155.5,91,69,3,2.42,,,,,,,,,,,00111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-187,C04 - SGC 1615,Time stamp,44409,17:00:00.1,0,1485,556,2243,525,0.73,L,49.4,239,238,239,414,412,414,1149,1121,1093,49.4,239,238,238,414,414,414,0,0,0,0.01,55,27.3,58.6,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1484,142.7,95,55,3.68,1.3,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,00111100 00000000,,,,#####,#####,#####,0,,,
-188,C02 - SGC 1617,Gen PMS start,44409,17:00:00.1,0,0,0,2225,0,0, ,0,0,0,0,0,0,0,0,0,0,49.4,225,225,224,390,389,388,0,0,0,0,50,25.9,51.7,0,#####,#####,#####,10000000 1000,00000000 1000,AUT,#####,#####,#####,#####,#####,#####,#####,#####,#####,#####,#####,#####,#####,0,0,100,00111100 00000000,#####,#####,1364292,#####,#####,#####,0,,,
-189,C05 - SGP 1309,Time stamp,44409,17:00:00.0,0,1482,430,,488,0.66,L,49.5,243,243,241,420,420,420,927,903,852,49.5,244,243,242,422,423,422,0,0,0,-0.006,69.7,28,63.9,26.8,#####,#####,#####,00000000 0011,10010010 0001,AUT,1483,113.7,91,57,4.4,1.36,77,51,#####,#####,27.5,#####,#####,11110000,0,0,,51,275,,#####,#####,#####,0,0,,
-190,C07 - ENW-DOHASGF1469,Other CB trip,44409,16:59:59.6,0,0,0,2068,0,0, ,0,0,0,0,0,0,0,0,0,0,49.6,239,240,239,415,415,415,,,,2.5,42,13.7,47.3,0,0.2,41,#####,10001000 0000,00000000 0000,MAN,,,,,,,,,,,,,,,,,00111100 00000000,#####,#####,,,,,,,,
-191,C06 - SGB 1601,Other CB trip,44409,16:59:59.6,0,1490,536,2056,561,0.69,L,49.6,241,241,242,417,418,419,1111,1090,1118,49.6,243,242,243,422,421,422,0,0,0,0.204,60.2,28.2,65.9,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1485,131.6,91,69,3,2.38,,,,,,,,,,,00111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-192,C05 - SGP 1309,Other CB trip,44409,16:59:59.6,0,1491,412,,410,0.71,L,49.6,241,241,240,417,417,418,857,859,829,49.6,243,243,242,422,422,422,0,0,0,-0.026,70.7,28,63.9,27,#####,#####,#####,00000000 0011,10010010 0001,AUT,1489,101.8,91,57,4.4,1.32,70,51,#####,#####,27.5,#####,#####,11110000,0,0,,51,275,,#####,#####,#####,0,0,,
-193,C04 - SGC 1615,Other CB trip,44409,16:59:59.6,0,1488,512,2043,508,0.71,L,49.6,238,238,238,413,411,413,1104,1075,1052,49.6,240,239,239,416,417,416,0,0,0,0.016,54.2,27.3,58.6,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1488,124.6,95,55,3.8,1.26,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,00111100 00000000,,,,#####,#####,#####,0,,,
-194,C03 - SGC 1618,Other CB trip,44409,16:59:59.6,0,1492,634,2068,621,0.72,L,49.6,239,238,238,413,412,413,1358,1301,1243,49.6,240,240,239,417,416,418,0,0,0,0.048,56.7,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1488,147.4,91,52,3.64,1.72,#####,,,,,,,10111100,,11100,00111100 00000000,#####,#####,1992481,,,,,,,
-195,C02 - SGC 1617,Other CB trip,44409,16:59:59.6,0,0,0,2056,0,0, ,0,0,0,0,0,0,0,0,0,0,49.6,224,225,224,388,388,388,0,0,0,0,50,25.9,51.7,0,#####,#####,#####,10000000 1000,00000000 1000,AUT,#####,#####,#####,#####,#####,#####,#####,#####,#####,#####,#####,#####,#####,0,0,100,00111100 00000000,#####,#####,1364292,#####,#####,#####,0,,,
-196,C01 - SGB 1603,GCB opened,44409,16:59:59.6,0,1641,89,2056,89,0.71,L,54.3,282,282,284,487,491,492,0,0,0,49.6,226,228,227,395,395,394,0,0,0,0,50,28,69.3,28.1,#####,#####,#####,00010001 0100,01101001 0001,AUT,1636,17.6,91,60,3.72,1.82,0,#####,#####,#####,#####,#####,#####,1111,11000000,0,00111100 00000000,,,,,,,,,,
-197,C01 - SGB 1603,Cooling,44409,16:59:59.5,0,1611,199,2336,198,0.71,L,55,332,319,321,568,547,570,0,0,0,49.7,230,230,230,400,400,400,0,0,0,1.222,50.2,28,69.3,28.1,#####,#####,#####,00010001 0100,01101101 0001,AUT,1638,137.2,91,60,3.72,1.82,0,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-198,C01 - SGB 1603,BOC IDMT,44409,16:59:59.3,0,1499,506,2479,509,0.71,L,49.9,238,238,238,412,412,413,1047,975,1042,49.9,237,238,238,413,414,414,0,0,0,0.044,49.8,28,69.3,28.1,#####,#####,#####,10010001 0100,01101100 0011,AUT,1497,135.3,91,60,3.72,1.82,91,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-199,C04 - SGC 1615,ForceValue,44409,16:59:20.9,0,ForceValue(1) ON,,,0.964015152,,,3660,3210,2760,0.754098361,,0.87704918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-200,C05 - SGP 1309,Time stamp,44409,16:59:00.4,0.621153846,1500,323,,345,0.68,L,50,247,247,245,427,425,427,640,650,624,50,248,247,246,429,429,429,0,0,0,0.102,70.4,28,63.9,26.9,#####,#####,#####,00000000 0011,10010010 0001,AUT,1499,81.9,91,57,4.28,1,61,51,#####,#####,27.4,#####,#####,11110000,0,0,,51,274,,#####,#####,#####,0,0,,
-201,C03 - SGC 1618,Time stamp,44409,16:59:00.2,0.8375,1499,536,2289,551,0.7,L,49.9,245,244,244,424,422,424,1131,1060,1011,49.9,244,245,244,425,425,426,0,0,0,0.014,58.8,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1497,127.3,90,52,3.64,1.5,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1992472,,,,,,,
-202,C01 - SGB 1603,Time stamp,44409,16:59:00.1,0.8125,1500,429,2294,481,0.66,L,50,239,239,239,413,413,414,922,856,922,50,238,238,239,415,415,415,0,0,0,0.108,49.6,28,69.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1499,111.2,91,60,3.76,1.44,79,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-203,C06 - SGB 1601,Time stamp,44409,16:59:00.0,0,1502,490,2273,489,0.71,L,50,247,246,247,427,427,429,953,940,957,50,247,246,246,430,428,429,0,0,0,-0.058,60,28.3,65.9,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1503,122.1,91,67,3.04,2.1,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-204,C04 - SGC 1615,Time stamp,44409,16:59:00.0,0,1501,519,2268,554,0.68,L,50,245,244,244,425,423,425,1084,1068,1034,50,245,244,244,425,425,426,0,0,0,0.018,56.5,27.3,58.6,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1499,127.3,95,55,3.76,1.44,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-205,C06 - SGB 1601,Time stamp,44409,16:58:00.3,0,1502,488,2413,489,0.71,L,50,246,246,246,427,427,428,938,915,940,50,246,246,246,429,428,429,0,0,0,0.17,59.9,28.3,65.9,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1497,121.3,91,67,3.04,2.02,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-206,C04 - SGC 1615,Time stamp,44409,16:58:00.3,0,1498,544,2414,538,0.71,L,50,244,244,244,423,423,424,1041,1037,1006,50,244,243,244,424,424,425,0,0,0,0.024,56.6,27.3,58.6,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1497,132,95,55,3.8,1.52,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-207,C05 - SGP 1309,Time stamp,44409,16:58:00.2,0,1500,360,,335,0.73,L,50,246,247,245,426,425,426,668,675,656,50,248,247,246,429,429,429,0,0,0,-0.008,70.3,27.9,63.9,26.5,#####,#####,#####,00000000 0011,10010010 0001,AUT,1501,87.6,91,57,4.32,1.18,66,51,#####,#####,27.5,#####,#####,11110000,0,0,,51,275,,#####,#####,#####,0,0,,
-208,C03 - SGC 1618,Time stamp,44409,16:58:00.2,0,1500,535,2393,538,0.7,L,50,245,244,244,423,423,424,1094,1032,974,50,244,245,244,426,424,426,0,0,0,0.024,58.6,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1501,130.1,90,52,3.68,1.54,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1992464,,,,,,,
-209,C01 - SGB 1603,Time stamp,44409,16:58:00.1,0,1500,471,2387,478,0.7,L,50,239,239,239,413,413,414,967,899,957,50,238,239,239,415,415,415,0,0,0,0.03,49.9,28,69.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1501,122.6,91,60,3.76,1.64,85,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-210,C05 - SGP 1309,Time stamp,44409,16:57:00.4,0,1503,283,,331,0.65,L,50.1,246,247,244,426,424,425,587,598,580,50.1,247,246,246,429,429,428,0,0,0,0.136,70.5,28.1,63.9,26.8,#####,#####,#####,00000000 0011,10010010 0001,AUT,1502,69,91,56,4.24,0.86,53,51,#####,#####,27.5,#####,#####,11110000,0,0,,51,275,,#####,#####,#####,0,0,,
-211,C03 - SGC 1618,Time stamp,44409,16:57:00.3,0,1502,495,2141,547,0.67,L,50.1,246,244,245,424,424,425,1079,1009,968,50.1,245,245,245,426,425,427,0,0,0,0.004,58.5,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1502,119.2,90,52,3.64,1.42,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1992455,,,,,,,
-212,C04 - SGC 1615,Time stamp,44409,16:57:00.1,0,1505,487,2140,547,0.66,L,50.1,245,245,244,425,424,425,1023,1022,999,50.1,245,244,245,425,426,426,0,0,0,0.032,56.3,27.3,58.6,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1503,118.3,95,55,3.8,1.36,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-213,C01 - SGB 1603,Time stamp,44409,16:57:00.1,0,1503,397,2181,475,0.64,L,50.1,239,239,239,413,414,414,877,822,879,50.1,238,239,239,415,415,415,0,0,0,0.064,49.3,28,69.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1502,100.4,91,60,3.96,1.36,73,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-214,C06 - SGB 1601,Time stamp,44409,16:57:00.0,0,1503,494,2123,465,0.73,L,50.1,247,246,247,428,426,428,922,910,914,50.1,247,246,247,430,429,430,0,0,0,-0.18,59.5,28.2,65.9,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1506,120.5,91,67,3.04,2.12,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-215,C06 - SGB 1601,Time stamp,44409,16:56:00.3,0,1504,488,2363,493,0.7,L,50.1,247,246,247,428,427,429,946,935,952,50.1,247,246,247,430,428,429,0,0,0,0.128,59.9,28.2,65.9,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1501,120.8,91,67,3.04,2.06,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-216,C03 - SGC 1618,Time stamp,44409,16:56:00.3,0,1501,528,2371,556,0.69,L,50.1,245,244,244,424,423,424,1092,1025,968,50.1,244,245,244,425,425,426,0,0,0,0.032,58.8,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1501,129.2,90,52,3.68,1.56,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1992446,,,,,,,
-217,C05 - SGP 1309,Time stamp,44409,16:56:00.2,0,1501,348,,353,0.7,L,50.1,246,247,244,426,424,426,665,668,651,50.1,247,246,245,429,429,428,0,0,0,-0.014,70,27.9,63.9,26.7,#####,#####,#####,00000000 0011,10010010 0001,AUT,1501,84.2,91,57,4.16,1.16,64,51,#####,#####,27.5,#####,#####,11110000,0,0,,51,275,,#####,#####,#####,0,0,,
-218,C01 - SGB 1603,Time stamp,44409,16:56:00.1,0,1501,473,2401,492,0.69,L,50.1,239,239,240,414,414,415,989,915,986,50.1,238,239,239,416,415,415,0,0,0,0.04,49.8,28,69.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1504,124.1,91,59,3.96,1.7,87,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-219,C04 - SGC 1615,Time stamp,44409,16:56:00.0,0,1503,542,2394,552,0.7,L,50.1,244,244,244,424,422,424,1050,1047,1026,50.1,245,243,244,424,425,425,0,0,0,0.028,56.7,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,129.3,95,55,3.84,1.52,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-220,C04 - SGC 1615,Time stamp,44409,16:55:00.3,0,1501,507,2224,548,0.68,L,50,245,244,244,425,423,425,1041,1025,1002,50,245,244,244,425,425,426,0,0,0,0.02,56.3,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,125.1,95,55,3.8,1.42,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-221,C01 - SGB 1603,Time stamp,44409,16:55:00.3,0,1502,413,2242,473,0.66,L,50.1,239,240,239,414,414,415,900,837,898,50.1,238,239,240,415,415,416,0,0,0,0.066,49.4,28,69.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1501,106.1,91,60,3.88,1.42,76,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-222,C06 - SGB 1601,Time stamp,44409,16:55:00.2,0,1502,493,2219,465,0.73,L,50.1,247,246,247,427,427,428,923,913,934,50.1,247,246,247,430,428,429,0,0,0,-0.068,59.9,28.2,65.9,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1499,121.6,91,67,3.04,2.1,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-223,C05 - SGP 1309,Time stamp,44409,16:55:00.2,0,1504,303,,339,0.67,L,50.1,247,247,244,427,425,426,614,630,599,50.1,247,247,246,429,429,429,0,0,0,0.092,70.1,28,63.9,26.6,#####,#####,#####,00000000 0011,10010010 0001,AUT,1502,73,91,57,4.4,0.96,56,51,#####,#####,27.5,#####,#####,11110000,0,0,,51,275,,#####,#####,#####,0,0,,
-224,C03 - SGC 1618,Time stamp,44409,16:55:00.2,0,1500,507,2220,546,0.68,L,50.1,246,245,245,424,424,426,1069,1004,963,50.1,245,245,245,427,426,426,0,0,0,-0.004,58.6,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1502,124.7,89,52,3.68,1.48,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1992438,,,,,,,
-225,C01 - SGB 1603,Time stamp,44409,16:54:00.3,0,1503,434,2307,485,0.67,L,50.1,239,239,239,414,413,415,934,865,924,50.1,239,239,239,415,415,416,0,0,0,0.114,49.6,28,69.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1503,113.9,91,60,3.8,1.5,79,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-226,C06 - SGB 1601,Time stamp,44409,16:54:00.2,0,1502,506,2287,467,0.73,L,50.1,247,247,247,428,428,429,953,932,959,50.1,247,246,247,431,429,430,0,0,0,-0.148,59.7,28.2,65.9,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1504,125.4,91,67,3.04,2.26,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-227,C05 - SGP 1309,Time stamp,44409,16:54:00.2,0,1502,323,,352,0.67,L,50.1,247,247,245,427,425,427,652,662,639,50.1,248,247,246,430,430,429,0,0,0,0.116,69.9,28,63.9,26.7,#####,#####,#####,00000000 0011,10010010 0001,AUT,1503,80,91,57,4.32,1.02,60,51,#####,#####,27.5,#####,#####,11110000,0,0,,51,275,,#####,#####,#####,0,0,,
-228,C04 - SGC 1615,Time stamp,44409,16:54:00.2,0,1501,521,2292,555,0.68,L,50.1,246,245,245,426,424,426,1050,1040,1022,50.1,245,244,245,426,426,427,0,0,0,0.024,56.6,27.3,58.6,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1502,126.2,94,55,3.84,1.44,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-229,C03 - SGC 1618,Time stamp,44409,16:54:00.2,0,1503,512,2296,559,0.67,L,50.1,246,245,245,425,424,426,1084,1034,981,50.1,245,245,245,426,425,427,0,0,0,0.002,58.8,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1502,124.2,89,51,3.72,1.48,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1992429,,,,,,,
-230,C05 - SGP 1309,Time stamp,44409,16:53:00.2,0,1503,323,,350,0.68,L,50.1,246,247,245,426,425,426,643,655,628,50.1,248,246,246,429,429,430,0,0,0,0.078,70.1,28,63.9,26.5,#####,#####,#####,00000000 0011,10010010 0001,AUT,1502,80,90,56,4.28,1.06,59,51,#####,#####,27.5,#####,#####,11110000,0,0,,51,275,,#####,#####,#####,0,0,,
-231,C04 - SGC 1615,Time stamp,44409,16:53:00.2,0,1501,518,2295,550,0.69,L,50.1,245,245,245,425,424,425,1045,1024,1009,50.1,245,244,245,425,426,426,0,0,0,0.036,56.3,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1502,127.3,93,55,3.84,1.46,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-232,C01 - SGB 1603,Time stamp,44409,16:53:00.2,0,1503,448,2346,478,0.68,L,50,238,238,238,412,411,413,937,866,932,50,238,238,239,415,415,415,0,0,0,0.03,49.3,28,69.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,114.4,91,59,3.88,1.56,80,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-233,C06 - SGB 1601,Time stamp,44409,16:53:00.1,0,1504,495,2298,462,0.73,L,50.1,247,247,247,428,427,428,933,910,934,50.1,247,245,247,430,427,430,0,0,0,-0.034,59.7,28.3,65.9,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1502,123.1,91,66,3.04,2.14,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-234,C03 - SGC 1618,Time stamp,44409,16:53:00.1,0,1501,528,2312,557,0.69,L,50,245,244,245,424,424,425,1116,1052,991,50,244,245,244,425,425,427,0,0,0,0.002,58.7,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1501,128.6,88,51,3.76,1.56,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1992420,,,,,,,
-235,C05 - SGP 1309,Time stamp,44409,16:52:00.4,0,1495,363,,328,0.74,L,49.9,246,247,244,426,424,425,683,681,659,49.9,247,246,245,428,428,427,0,0,0,0.004,70,28,63.9,27,#####,#####,#####,00000000 0011,10010010 0001,AUT,1497,91,90,56,4.4,1.12,68,51,#####,#####,27.5,#####,#####,11110000,0,0,,51,275,,#####,#####,#####,0,0,,
-236,C04 - SGC 1615,Time stamp,44409,16:52:00.2,0,1495,541,2381,534,0.71,L,49.9,244,244,244,423,422,424,1056,1037,1014,49.9,244,243,243,424,424,424,0,0,0,0.032,56.5,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1496,137.7,93,54,3.84,1.48,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-237,C01 - SGB 1603,Time stamp,44409,16:52:00.2,0,1495,433,2314,468,0.68,L,49.8,239,239,238,413,412,413,924,862,924,49.8,237,238,239,414,414,414,0,0,0,0.124,49.9,28,69.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1495,115,91,59,3.96,1.42,78,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
-238,C06 - SGB 1601,Time stamp,44409,16:52:00.1,0,1497,487,2391,487,0.71,L,49.8,246,246,245,427,425,427,930,922,945,49.8,246,245,246,429,428,428,0,0,0,0.058,59.8,28.2,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1496,120.5,90,65,3.08,2.02,,,,,,,,,,,10111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-239,C03 - SGC 1618,Time stamp,44409,16:52:00.0,0,1494,541,2350,534,0.71,L,49.9,245,244,244,423,422,424,1110,1038,996,49.9,244,244,244,424,424,425,0,0,0,-0.028,58.5,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1495,132.8,88,51,3.72,1.5,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1992411,,,,,,,
-240,C05 - SGP 1309,Time stamp,44409,16:51:00.4,0,1502,273,,329,0.64,L,50,246,247,244,426,425,425,578,585,566,50,247,246,246,429,429,429,0,0,0,0.1,69.9,28,63.9,26.8,#####,#####,#####,00000000 0011,10010010 0001,AUT,1501,65.8,89,56,4.24,0.82,50,51,#####,#####,27.4,#####,#####,11110000,0,0,,51,274,,#####,#####,#####,0,0,,
-241,C03 - SGC 1618,Time stamp,44409,16:51:00.3,0,1505,469,2018,533,0.66,L,50.1,246,244,245,424,424,426,1035,972,928,50.1,245,245,245,426,425,427,0,0,0,0.002,58.1,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,AUT,1504,112.7,87,51,3.84,1.4,#####,,,,,,,10111100,,11100,10111100 00000000,#####,#####,1992402,,,,,,,
-242,C04 - SGC 1615,Time stamp,44409,16:51:00.1,0,1502,465,2029,528,0.66,L,50.2,245,245,245,425,425,426,958,949,923,50.2,245,244,245,425,425,426,0,0,0,0.002,55.9,27.3,58.1,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1503,115,92,54,3.96,1.3,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,10111100 00000000,,,,#####,#####,#####,0,,,
-243,C01 - SGB 1603,Time stamp,44409,16:51:00.1,0,1501,384,2083,461,0.64,L,50.1,239,239,239,413,413,415,853,790,852,50.1,238,239,239,415,415,415,0,0,0,0.022,49.4,28,69.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,AUT,1502,98.9,91,58,3.84,1.26,72,#####,#####,#####,#####,#####,#####,1111,11000000,0,10111100 00000000,,,,,,,,,,
