,Controller,Reason,Date,Time,Corr,RPM,Pwr,TotRun,Q,PF,LChr,Gfrq,Vg1,Vg2,Vg3,Vg12,Vg23,Vg31,Ig1,Ig2,Ig3,Bfrq,Vb1,Vb2,Vb3,Vb12,Vb23,Vb31,FC,FMI,OC,SRO,VRO,UBat,CPUT,D+,OilP,Wtmp,Flev,BIN,BOUT,Mode,Erpm,Eflr,Eclt,Eint,Eoil,Einp,Eld,EA8,EA9,EA10,EA11,EA12,EA13,EBI1,EBI2,EBO1,GL16,DEFl,Soot,kWhour,EA14,EA15,EA16,EBO2,VPI1,Reg16,CAN16
-14,C06 - SGB 1601,Time stamp,44409,17:14:00.2,0,1499,8,48,13,0.54,L,50,245,244,244,423,423,424,34,31,40,50,244,243,244,425,424,424,0,0,0,-0.008,57.4,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1498,6.2,86,49,3.96,0.04,,,,,,,,,,,11111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-15,C05 - SGP 1309,Time stamp,44409,17:14:00.2,0,1499,6,,9,0.57,L,50,243,245,242,422,422,421,23,23,23,50,244,244,244,424,424,424,0,0,0,0.048,64.3,28,62.5,27.1,#####,#####,#####,00000000 0011,10010010 0001,MAN,1498,16.2,85,49,4.44,0.04,8,50,#####,#####,27.7,#####,#####,11110000,0,0,,50,277,,#####,#####,#####,0,0,,
-16,C03 - SGC 1618,Time stamp,44409,17:14:00.1,0,1499,9,46,11,0.65,L,50,240,240,239,415,415,415,28,23,21,50,240,240,239,417,417,418,0,0,0,0.016,49,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,MAN,1500,21.7,75,45,4.4,0.06,#####,,,,,,,10111100,,11100,11111100 00000000,#####,#####,1992486,,,,,,,
-17,C02 - SGC 1617,Time stamp,44409,17:14:00.1,0,1499,6,49,12,0.46,L,50,240,240,239,416,415,416,36,33,31,50,240,240,239,417,417,418,0,0,0,-0.014,47.7,27.3,53.7,0,#####,#####,#####,10100000 1000,10010001 0111,MAN,1499,22.5,77,43,4.96,0.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,#####,#####,1364296,#####,#####,#####,0,,,
-18,C02 - SGC 1617,Time stamp,44409,17:13:00.3,0,1499,35,176,11,0.95,L,50,240,240,240,416,415,417,55,51,51,50,240,240,239,417,416,417,0,0,0,-0.008,47.8,27.3,53.7,0,#####,#####,#####,10100000 1000,10010001 0111,MAN,1499,24.2,77,43,4.88,0.1,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,#####,#####,1364296,#####,#####,#####,0,,,
-19,C06 - SGB 1601,Time stamp,44409,17:13:00.2,0,1500,30,169,13,0.92,L,50,244,244,244,423,423,424,60,50,63,50,244,244,244,425,425,425,0,0,0,0.04,57.3,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,8.3,86,49,3.96,0.06,,,,,,,,,,,11111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-20,C05 - SGP 1309,Time stamp,44409,17:13:00.2,0,1500,22,,4,0.98,L,50,243,244,242,422,421,421,36,41,35,50,245,244,244,424,424,424,0,0,0,0.064,64,28.1,62.5,27.3,#####,#####,#####,00000000 0011,10010010 0001,MAN,1500,16,85,49,4.44,0.06,9,50,#####,#####,27.8,#####,#####,11110000,0,0,,50,278,,#####,#####,#####,0,0,,
-21,C04 - SGC 1615,Time stamp,44409,17:13:00.2,0,1500,32,164,11,0.94,L,50,240,240,240,416,415,416,45,43,48,50,240,239,240,417,417,418,0,0,0,-0.002,47.8,27.3,58.6,0,#####,#####,#####,10100001 0000,10010001 0111,MAN,1499,19.8,75,46,5.08,0.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,,,,#####,#####,#####,0,,,
-22,C01 - SGB 1603,Time stamp,44409,17:13:00.2,0,1500,25,166,13,0.89,L,50,240,240,239,415,415,416,46,44,55,50,240,240,240,417,417,417,0,0,0,0.058,51,28,69.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,MAN,1500,16.2,86,48,4.4,0.02,11,#####,#####,#####,#####,#####,#####,1111,11000000,0,11111100 00000000,,,,,,,,,,
-23,C03 - SGC 1618,Time stamp,44409,17:13:00.1,0,1499,33,176,10,0.95,L,50,240,239,239,415,415,416,46,43,41,50,240,240,239,417,416,418,0,0,0,0.004,49,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,MAN,1499,22.2,76,45,4.36,0.1,#####,,,,,,,10111100,,11100,11111100 00000000,#####,#####,1992486,,,,,,,
-24,C02 - SGC 1617,Time stamp,44409,17:12:00.3,0,1500,29,168,13,0.91,L,50,240,240,240,416,415,417,64,59,58,50,240,240,239,417,416,417,0,0,0,0,47.5,27.3,54.2,0,#####,#####,#####,10100000 1000,10010001 0111,MAN,1500,23.9,77,43,4.96,0.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,#####,#####,1364295,#####,#####,#####,0,,,
-25,C06 - SGB 1601,Time stamp,44409,17:12:00.2,0,1499,31,173,9,0.95,L,50,244,244,243,422,422,423,54,48,60,50,244,244,244,425,424,424,0,0,0,0.106,57.1,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,9.6,86,49,3.96,0.06,,,,,,,,,,,11111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-26,C04 - SGC 1615,Time stamp,44409,17:12:00.2,0,1499,30,171,14,0.91,L,50,240,240,240,416,415,416,53,50,53,50,240,239,239,416,417,417,0,0,0,0.002,47.6,27.3,58.6,0,#####,#####,#####,10100001 0000,10010001 0111,MAN,1499,20.4,75,47,5.04,0.1,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,,,,#####,#####,#####,0,,,
-27,C01 - SGB 1603,Time stamp,44409,17:12:00.2,0,1499,27,167,16,0.86,L,50,240,240,240,415,415,416,49,44,55,50,240,240,240,417,417,417,0,0,0,-0.004,50.9,28,69.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,MAN,1501,16,86,48,4.28,0.02,11,#####,#####,#####,#####,#####,#####,1111,11000000,0,11111100 00000000,,,,,,,,,,
-28,C05 - SGP 1309,Time stamp,44409,17:12:00.1,0,1500,27,,6,0.98,L,50,243,244,242,421,421,421,40,45,41,50,244,244,243,424,424,424,0,0,0,0.02,63.8,28.2,63,27.4,#####,#####,#####,00000000 0011,10010010 0001,MAN,1499,16,85,49,4.6,0.08,10,50,#####,#####,27.5,#####,#####,11110000,0,0,,50,275,,#####,#####,#####,0,0,,
-29,C03 - SGC 1618,Time stamp,44409,17:12:00.0,0,1499,30,171,8,0.96,L,50,240,239,239,414,415,415,55,51,55,50,239,240,238,418,416,417,0,0,0,0.016,48.7,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,MAN,1500,24.2,75,46,4.32,0.08,#####,,,,,,,10111100,,11100,11111100 00000000,#####,#####,1992485,,,,,,,
-30,C03 - SGC 1618,Time stamp,44409,17:11:00.3,0,1498,11,53,15,0.6,L,50,240,239,239,415,415,416,31,30,28,50,239,240,239,417,416,417,0,0,0,0.018,48.9,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,MAN,1499,20.6,75,46,4.28,0.06,#####,,,,,,,10111100,,11100,11111100 00000000,#####,#####,1992485,,,,,,,
-31,C02 - SGC 1617,Time stamp,44409,17:11:00.3,0,1498,9,53,15,0.51,L,50,239,240,239,416,414,416,38,35,35,50,241,240,239,417,416,417,0,0,0,0,47.6,27.3,54.2,0,#####,#####,#####,10100000 1000,10010001 0111,MAN,1500,22.7,76,43,4.96,0.06,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,#####,#####,1364295,#####,#####,#####,0,,,
-32,C06 - SGB 1601,Time stamp,44409,17:11:00.1,0,1499,9,42,11,0.65,L,50,245,244,244,423,423,424,36,29,40,50,244,244,244,425,425,425,0,0,0,-0.012,57.4,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1500,6.4,85,50,3.96,0.04,,,,,,,,,,,11111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-33,C05 - SGP 1309,Time stamp,44409,17:11:00.1,0,1500,8,,12,0.56,L,50,244,245,243,422,422,422,25,25,23,50,245,244,244,424,424,425,0,0,0,0.044,63.5,28.1,63,27.1,#####,#####,#####,00000000 0011,10010010 0001,MAN,1501,16,84,49,4.76,0.06,9,51,#####,#####,27.5,#####,#####,11110000,0,0,,51,275,,#####,#####,#####,0,0,,
-34,C04 - SGC 1615,Time stamp,44409,17:11:00.1,0,1501,4,44,15,0.31,L,50,240,240,240,417,415,416,26,26,23,50,240,239,239,416,417,417,0,0,0,0.01,47.8,27.3,59,0,#####,#####,#####,10100001 0000,10010001 0111,MAN,1500,20.6,74,47,5.04,0.06,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,,,,#####,#####,#####,0,,,
-35,C01 - SGB 1603,Time stamp,44409,17:11:00.1,0,1500,6,48,15,0.39,L,50,240,240,239,415,415,415,31,28,37,50,240,240,240,418,417,417,0,0,0,0.054,51,28,69.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,MAN,1500,16,85,48,4.48,0,9,#####,#####,#####,#####,#####,#####,1111,11000000,0,11111100 00000000,,,,,,,,,,
-36,C05 - SGP 1309,Time stamp,44409,17:10:00.3,0,1500,6,,8,0.62,L,50,243,245,242,422,422,421,26,30,26,50,244,244,244,424,425,424,0,0,0,0.064,63.1,28.2,63,26.8,#####,#####,#####,00000000 0011,10010010 0001,MAN,1499,16.2,85,49,4.72,0.06,8,51,#####,#####,27.7,#####,#####,11110000,0,0,,51,277,,#####,#####,#####,0,0,,
-37,C03 - SGC 1618,Time stamp,44409,17:10:00.3,0,1499,12,53,16,0.58,L,50,240,239,239,415,415,416,33,28,28,50,240,240,239,417,417,418,0,0,0,0.002,49.1,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,MAN,1500,21.3,75,46,4.32,0.06,#####,,,,,,,10111100,,11100,11111100 00000000,#####,#####,1992485,,,,,,,
-38,C02 - SGC 1617,Time stamp,44409,17:10:00.2,0,1499,10,48,18,0.49,L,50,240,240,239,416,415,416,40,40,35,50,241,240,240,417,417,418,0,0,0,-0.012,47.7,27.3,53.7,0,#####,#####,#####,10100000 1000,10010001 0111,MAN,1501,23,76,43,5.04,0.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,#####,#####,1364295,#####,#####,#####,0,,,
-39,C06 - SGB 1601,Time stamp,44409,17:10:00.1,0,1499,9,52,18,0.45,L,50,244,244,244,423,423,424,39,36,43,50,244,244,244,425,425,425,0,0,0,-0.016,57.4,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1499,6.4,86,50,3.96,0.04,,,,,,,,,,,11111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-40,C04 - SGC 1615,Time stamp,44409,17:10:00.0,0,1498,9,56,16,0.51,L,50,240,240,240,416,415,416,30,31,30,50,240,239,239,417,417,417,0,0,0,0.018,48,27.3,59,0,#####,#####,#####,10100001 0000,10010001 0111,MAN,1499,20.4,74,47,5,0.06,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,,,,#####,#####,#####,0,,,
-41,C01 - SGB 1603,Time stamp,44409,17:10:00.0,0,1500,9,50,5,0.85,L,50,240,240,239,414,414,415,24,21,29,50,240,240,240,417,417,417,0,0,0,0.054,51.1,28.1,69.3,28.1,#####,#####,#####,10010001 0100,01001100 0011,MAN,1499,16,86,48,4.4,0.02,9,#####,#####,#####,#####,#####,#####,1111,11000000,0,11111100 00000000,,,,,,,,,,
-42,C06 - SGB 1601,Time stamp,44409,17:09:00.4,0,1500,27,153,12,0.91,L,50,244,244,244,422,423,424,51,46,56,50,244,244,244,425,426,424,0,0,0,0.056,57.4,28.3,65.4,28.2,#####,#####,#####,10010001 0100,01001100 0011,AUT,1499,8.3,86,50,3.96,0.06,,,,,,,,,,,11111100 00000000,,,,,,,,,11111110 00000000,11111110 00000000
-43,C05 - SGP 1309,Time stamp,44409,17:09:00.3,0,1501,22,,8,0.93,L,50,243,245,242,422,422,421,30,33,31,50,245,244,244,425,425,425,0,0,0,0.034,63,28.2,63.4,27.1,#####,#####,#####,00000000 0011,10010010 0001,MAN,1501,16,85,50,4.64,0.08,10,51,#####,#####,27.7,#####,#####,11110000,0,0,,51,277,,#####,#####,#####,0,0,,
-44,C04 - SGC 1615,Time stamp,44409,17:09:00.3,0,1500,27,148,13,0.9,L,50,240,240,240,416,415,416,50,48,46,50,240,240,240,417,418,418,0,0,0,0.01,48.1,27.3,59,0,#####,#####,#####,10100001 0000,10010001 0111,MAN,1500,22.2,74,48,4.92,0.08,#####,#####,#####,#####,#####,#####,#####,10111100,0,11100,11111100 00000000,,,,#####,#####,#####,0,,,
-45,C03 - SGC 1618,Time stamp,44409,17:09:00.2,0,1499,26,148,13,0.89,L,50,241,240,239,416,415,416,41,36,36,50,240,240,240,417,417,418,0,0,0,0,49.2,27.3,60.5,0,#####,#####,#####,00100000 0000,10010001 0111,MAN,1501,22.6,75,46,4.32,0.1,#####,,,,,,,10111100,,11100,11111100 00000000,#####,#####,1992484,,,,,,,
