,Controller,Reason,Date,Time,Corr,RPM,Pwr,TotRun,Q,PF,LChr,Gfrq,Vg1,Vg2,Vg3,Vg12,Vg23,Vg31,Ig1,Ig2,Ig3,Bfrq,Vb1,Vb2,Vb3,Vb12,Vb23,Vb31,FC,FMI,OC,SRO,VRO,UBat,CPUT,D+,OilP,Wtmp,Flev,BIN,BOUT,Mode,Erpm,Eflr,Eclt,Eint,Eoil,Einp,Eld,EA8,EA9,EA10,EA11,EA12,EA13,EBI1,EBI2,EBO1,GL16,TotRun,DEFl,Soot,Reg16,CAN16,kWhour
-15,C01 - SGB 1603,Time stamp,8/13/2022,9:30:00.1,0,1499,6,28,30,0.22,L,50,240,240,240,415,415,416,51,45,47,50,239,240,240,416,417,417,0,0,0,0.058,52.2,28,58.6,28.1,#####,#####,#####,10010001 0100,01001100 0011,MAN,1501,16.2,85,45,4.36,0.04,9,#####,#####,#####,#####,#####,#####,1111,11000000,0,11010110 00000000,,,,,,
-16,C07 - SGJ1500,Time stamp,8/13/2022,9:30:00.1,0,1501,6,25,30,0.21,L,50,240,240,240,415,416,417,51,47,42,50,240,240,241,417,418,419,0,0,0,0.064,51.9,27.7,59.5,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1500,16,86,49,4.36,0.08,9,44,#####,#####,27.4,,,11110000,,0,,,,,,,
-17,C03 - SGC 1618,Time stamp,8/13/2022,9:30:00.1,0,1501,0,26,0,0, ,50,240,239,240,414,415,416,0,0,0,50,239,240,239,416,417,418,0,0,0,0,49,27.3,44.9,0,#####,#####,#####,00000000 0000,10010001 0111,MAN,1498,22.2,76,40,4.96,0.06,#####,,,,,,,10111100,,11100,11010110 00000000,,#####,#####,,,3968167
-18,C04 - SGC 1615,Time stamp,8/13/2022,9:29:00.2,0,1499,7,28,36,0.21,L,50,240,240,240,416,415,416,69,59,48,50,240,239,240,416,417,417,0,0,0,0.004,46.7,27.4,50.7,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1501,20.3,76,41,4.6,0.06,#####,,,,,,,10111100,,11100,11010110 00000000,,,,,,
-19,C06 - SGB 1601,Time stamp,8/13/2022,9:29:00.2,0,1499,6,28,35,0.18,L,50,240,240,240,415,415,416,62,51,56,50,240,239,240,418,418,418,0,0,0,-0.012,52.3,28.3,55.6,28.2,,,,10010000 0100,01001100 0011,AUT,1500,7,85,47,3.84,0.06,,#####,#####,,,6.84,1.04,,,,11010110 00000000,,,,11111110 00000000,,
-20,C02 - SGF 1560,Time stamp,8/13/2022,9:29:00.1,0,1500,5,,29,0.18,L,50,240,240,240,415,415,416,51,43,43,50,239,239,239,417,416,417,0,0,0,0.068,53.4,27.9,56.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1499,16.2,73,44,4.72,0.06,10,#####,#####,#####,#####,#####,#####,101110,,0,11010110 00000000,158,#####,32768,11111110 00000000,11111110 00000000,
-21,C01 - SGB 1603,Time stamp,8/13/2022,9:29:00.1,0,1499,5,28,30,0.16,L,50,240,240,240,415,415,416,47,43,49,50,239,240,240,417,417,417,0,0,0,0.018,52.1,28,58.6,28.1,#####,#####,#####,10010001 0100,01001100 0011,MAN,1498,16.2,86,45,4.36,0.02,9,#####,#####,#####,#####,#####,#####,1111,11000000,0,11010110 00000000,,,,,,
-22,C07 - SGJ1500,Time stamp,8/13/2022,9:29:00.0,0,1500,4,28,29,0.16,L,50,240,240,240,415,416,416,47,45,37,50,240,240,240,417,418,418,0,0,0,0.062,51.7,27.7,59.5,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1500,16.2,86,50,4.32,0.08,9,44,#####,#####,27.3,,,11110000,,0,,,,,,,
-23,C03 - SGC 1618,Time stamp,8/13/2022,9:29:00.0,0,1501,0,27,0,0, ,50,240,240,240,415,415,416,0,0,0,50,239,240,239,416,416,417,0,0,0,0,49,27.3,44.9,0,#####,#####,#####,00000000 0000,10010001 0111,MAN,1499,23,77,40,5.04,0.08,#####,,,,,,,10111100,,11100,11010110 00000000,,#####,#####,,,3968167
-24,C07 - SGJ1500,Time stamp,8/13/2022,9:28:00.3,0,1500,24,88,28,0.65,L,50,240,240,240,415,416,417,54,58,46,50,240,240,241,417,418,418,0,0,0,0.062,51.8,27.7,59.5,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1500,16.2,87,51,4.28,0.1,11,44,#####,#####,27.7,,,11110000,,0,,,,,,,
-25,C03 - SGC 1618,Time stamp,8/13/2022,9:28:00.3,0,1500,0,88,0,0, ,50,241,240,240,415,416,416,0,0,0,50,239,239,239,416,416,417,0,0,0,0,48.9,27.3,44.9,0,#####,#####,#####,00000000 0000,10010001 0111,MAN,1500,21.7,75,39,5.12,0.06,#####,,,,,,,10111100,,11100,11010110 00000000,,#####,#####,,,3968167
-26,C01 - SGB 1603,Time stamp,8/13/2022,9:28:00.3,0,1500,17,88,34,0.45,L,50,240,240,239,415,415,416,58,51,56,50,240,240,240,417,417,417,0,0,0,0.07,52.1,28,58.6,28.1,#####,#####,#####,10010001 0100,01001100 0011,MAN,1499,16,87,45,4.36,0.04,10,#####,#####,#####,#####,#####,#####,1111,11000000,0,11010110 00000000,,,,,,
-27,C04 - SGC 1615,Time stamp,8/13/2022,9:28:00.1,0,1499,27,89,35,0.62,L,50,240,239,240,415,414,416,76,68,56,50,240,239,240,416,417,417,0,0,0,0.024,46.7,27.4,50.7,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1499,22.4,76,40,4.56,0.1,#####,,,,,,,10111100,,11100,11010110 00000000,,,,,,
-28,C06 - SGB 1601,Time stamp,8/13/2022,9:28:00.1,0,1500,1,91,38,0.03, ,50,240,239,239,415,415,416,65,50,56,50,240,239,240,417,417,417,0,0,0,-0.148,52.2,28.2,55.6,28.2,,,,10010000 0100,01001100 0011,AUT,1499,6.1,86,47,3.8,0.06,,#####,#####,,,6.88,1.06,,,,11010110 00000000,,,,11111110 00000000,,
-29,C02 - SGF 1560,Time stamp,8/13/2022,9:28:00.1,0,1499,18,,27,0.56,L,50,240,240,240,415,416,416,57,44,44,50,239,239,239,416,416,417,0,0,0,0.06,53.1,27.8,56.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1499,16,74,44,4.76,0.08,12,#####,#####,#####,#####,#####,#####,101110,,0,11010110 00000000,161,#####,32768,11111110 00000000,11111110 00000000,
-30,C05 - SGC1616,Ready,8/13/2022,9:27:07.8,0,0,0,328,0,0, ,0,0,0,0,0,0,0,0,0,0,50,240,240,240,415,415,415,0,0,0,0,50,26.8,51.7,0,#####,#####,#####,10000000 0000,00000000 0001,AUT,#####,#####,#####,#####,#####,#####,#####,,,,,,,0,,10000100,11010110 00000000,,,,,,4147977
-31,C02 - SGF 1560,Time stamp,8/13/2022,9:27:00.3,0,1499,65,,40,0.85,L,50,240,240,240,415,416,416,124,111,101,50,239,239,239,416,416,417,0,0,0,0.056,53.2,27.8,56.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1499,18.1,73,44,4.76,0.16,15,#####,#####,#####,#####,#####,#####,101110,,0,11010110 00000000,151,#####,32768,11111110 00000000,11111110 00000000,
-32,C01 - SGB 1603,Time stamp,8/13/2022,9:27:00.3,0,1501,64,345,29,0.91,L,50,240,240,240,415,415,416,105,93,96,50,239,240,240,417,417,417,0,0,0,0.066,52.2,28,58.6,28.1,#####,#####,#####,10010001 0100,01001100 0011,MAN,1499,17.7,87,45,4.36,0.08,15,#####,#####,#####,#####,#####,#####,1111,11000000,0,11010110 00000000,,,,,,
-33,C07 - SGJ1500,Time stamp,8/13/2022,9:27:00.2,0,1500,65,343,20,0.95,L,50,240,240,240,415,416,417,97,100,83,50,240,240,241,417,418,419,0,0,0,0.066,51.5,27.7,59.5,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1499,16.4,87,51,4.28,0.14,13,44,#####,#####,27.7,,,11110000,,0,,,,,,,
-34,C03 - SGC 1618,Time stamp,8/13/2022,9:27:00.2,0,1499,0,345,0,0, ,50,240,239,240,415,415,416,0,0,0,50,239,239,239,416,416,418,0,0,0,0,49,27.3,44.9,0,#####,#####,#####,00000000 0000,10010001 0111,MAN,1500,20.9,73,39,5.2,0.06,#####,,,,,,,10111100,,11100,11010110 00000000,,#####,#####,,,3968167
-35,C04 - SGC 1615,Time stamp,8/13/2022,9:27:00.1,0,1500,81,342,32,0.93,L,50,240,239,240,415,415,416,143,122,111,50,240,239,240,416,417,417,0,0,0,0.01,46.6,27.3,50.7,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1499,28.2,76,40,4.52,0.14,#####,,,,,,,10111100,,11100,11010110 00000000,,,,,,
-36,C06 - SGB 1601,Time stamp,8/13/2022,9:27:00.1,0,1501,73,343,31,0.92,L,50,240,240,240,415,416,416,132,104,109,50,240,239,240,417,417,418,0,0,0,0.048,52.3,28.3,55.6,28.2,,,,10010000 0100,01001100 0011,AUT,1499,18.6,86,47,3.8,0.08,,#####,#####,,,6.88,1.08,,,,11010110 00000000,,,,11111110 00000000,,
-37,C05 - SGC1616,Gen PMS stop,8/13/2022,9:26:43.6,0,1499,0,342,0,0, ,50,239,240,239,415,415,415,0,0,0,50,239,239,239,416,416,416,0,0,0,0,50,27.1,51.7,0,#####,#####,#####,10000000 0000,10000001 0001,AUT,1500,22.6,76,43,4.72,0.06,#####,,,,,,,10111100,,11100,11010110 00000000,,,,,,4147977
-38,C04 - SGC 1615,Time stamp,8/13/2022,9:26:00.3,0,1499,85,351,140,0.52,L,50,239,239,240,415,414,415,270,241,252,50,240,239,239,416,417,416,0,0,0,-0.01,48.6,27.4,50.7,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1499,28.6,76,41,4.52,0.14,#####,,,,,,,10111100,,11100,11010110 00000000,,,,,,
-39,C07 - SGJ1500,Time stamp,8/13/2022,9:26:00.2,0,1500,71,351,138,0.46,L,50,240,240,240,415,416,416,229,225,223,50,240,240,240,418,418,418,0,0,0,0.01,51.6,27.7,59.5,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1500,18.1,86,50,4.32,0.16,15,44,#####,#####,27.3,,,11110000,,0,,,,,,,
-40,C05 - SGC1616,Time stamp,8/13/2022,9:26:00.2,0,1500,0,351,0,0, ,50,240,240,239,415,414,416,0,0,0,50,239,239,238,416,415,415,0,0,0,0,50,27,51.7,0,#####,#####,#####,10000000 0000,10000001 0001,AUT,1499,21.2,76,43,4.64,0.06,#####,,,,,,,10111100,,11100,11010110 00000000,,,,,,4147977
-41,C03 - SGC 1618,Time stamp,8/13/2022,9:26:00.2,0,1498,0,350,0,0, ,50,241,240,240,415,415,416,0,0,0,50,238,239,238,415,415,416,0,0,0,0,48.9,27.3,44.9,0,#####,#####,#####,00000000 0000,10010001 0111,MAN,1500,22.6,70,39,5.28,0.08,#####,,,,,,,10111100,,11100,11010110 00000000,,#####,#####,,,3968167
-42,C02 - SGF 1560,Time stamp,8/13/2022,9:26:00.2,0,1501,78,,107,0.59,L,50,240,240,239,415,415,415,202,182,202,50,239,239,239,416,415,416,0,0,0,-0.006,53.6,27.8,56.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1499,19.1,70,44,4.8,0.16,16,#####,#####,#####,#####,#####,#####,101110,,0,11010110 00000000,675,#####,32768,11111110 00000000,11111110 00000000,
-43,C01 - SGB 1603,Time stamp,8/13/2022,9:26:00.2,0,1500,73,350,128,0.5,L,50,240,240,240,415,415,416,216,188,211,50,239,240,239,417,416,417,0,0,0,-0.02,51.9,28,58.6,28.1,#####,#####,#####,10010001 0100,01001100 0011,MAN,1499,18.3,85,45,4.44,0.1,16,#####,#####,#####,#####,#####,#####,1111,11000000,0,11010110 00000000,,,,,,
-44,C06 - SGB 1601,Time stamp,8/13/2022,9:26:00.1,0,1500,43,352,162,0.26,L,50,240,239,239,415,415,416,265,214,241,50,239,239,240,417,418,417,0,0,0,0.35,52.2,28.2,55.6,28.2,,,,10010000 0100,01001100 0011,AUT,1499,14,85,48,3.84,0.06,,#####,#####,,,6.84,1.06,,,,11010110 00000000,,,,11111110 00000000,,
-45,C02 - SGF 1560,Loaded,8/13/2022,9:25:22.6,0,1500,14,,4,0.96,L,50,240,240,240,415,415,416,34,25,23,50,239,239,239,416,416,417,0,0,0,0.06,53.8,27.8,56.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1499,16.2,70,44,4.8,0.06,11,#####,#####,#####,#####,#####,#####,101110,,0,11010110 00000000,104,#####,32768,11111110 00000000,11111110 00000000,
-46,C02 - SGF 1560,GCB closed,8/13/2022,9:25:19.2,0,1484,0,,-2,0.27,C,50,240,240,240,416,415,416,88,68,57,50,239,239,239,416,417,417,0,0,0,0.028,53.5,27.8,56.1,28,#####,#####,#####,00100000 0010,10011001 0111,AUT,1504,16,70,44,4.8,0.08,15,#####,#####,#####,#####,#####,#####,101110,,0,10010110 00000000,107,#####,32768,11111110 00000000,11111110 00000000,
