,Controller,Reason,Date,Time,Corr,RPM,Pwr,TotRun,Q,PF,LChr,Gfrq,Vg1,Vg2,Vg3,Vg12,Vg23,Vg31,Ig1,Ig2,Ig3,Bfrq,Vb1,Vb2,Vb3,Vb12,Vb23,Vb31,FC,FMI,OC,SRO,VRO,UBat,CPUT,D+,OilP,Wtmp,Flev,BIN,BOUT,Mode,Erpm,Eflr,Eclt,Eint,Eoil,Einp,Eld,EA8,EA9,EA10,EA11,EA12,EA13,EBI1,EBI2,EBO1,GL16,TotRun,DEFl,Soot,Reg16,CAN16,kWhour
-921,C05 - SGC1616,GCB opened,8/13/2022,5:17:33.4,0,1494,1,1781,51,0.03,L,49.8,239,240,239,415,414,415,0,0,0,49.9,237,237,237,413,412,412,0,0,0,-0.93,48.2,27,55.1,0,#####,#####,#####,10000000 0000,10000101 0111,AUT,1493,19.5,82,43,4.2,0.3,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147916
-922,C05 - SGC1616,Cooling,8/13/2022,5:17:33.4,0,1494,1,1781,51,0.03,L,49.8,239,240,239,415,414,415,0,0,0,49.9,237,237,237,413,412,412,0,0,0,-0.93,48.2,27,55.1,0,#####,#####,#####,10000000 0000,10000101 0111,AUT,1493,19.5,82,43,4.2,0.3,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147916
-923,C05 - SGC1616,Soft unload,8/13/2022,5:17:24.0,0,1499,297,1617,247,0.77,L,50,240,240,239,415,415,416,687,322,614,50,240,240,240,417,417,417,0,0,0,0.006,50.6,27,55.1,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1500,92.6,82,44,4.12,0.98,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147915
-924,C07 - SGJ1500,Time stamp,8/13/2022,5:17:00.2,0,1498,256,1693,196,0.79,L,50,241,241,240,417,416,418,444,468,446,50,241,240,241,418,418,419,0,0,0,0.08,54.9,27.7,61,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1500,65.4,86,50,4.16,0.78,50,48,#####,#####,27.4,,,11110000,,0,,,,,,,
-925,C05 - SGC1616,Time stamp,8/13/2022,5:17:00.2,0,1498,309,1693,248,0.78,L,50,240,240,240,415,415,417,702,335,628,50,240,240,239,417,416,417,0,0,0,0.016,50.6,27,55.1,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1499,95.1,82,44,4.08,1,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147913
-926,C02 - SGF 1560,Time stamp,8/13/2022,5:17:00.2,0,1501,257,,198,0.79,L,50,239,239,239,415,414,415,468,453,457,50,239,239,239,416,415,416,0,0,0,0.062,53.2,27.7,55.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1499,64.1,87,46,4.24,0.8,50,#####,#####,#####,#####,#####,#####,101110,,0,11011110 00000000,1317,#####,32768,11111110 00000000,11111110 00000000,
-927,C04 - SGC 1615,Time stamp,8/13/2022,5:17:00.1,0,1499,311,1695,245,0.79,L,50,240,240,240,416,415,416,581,549,528,50,240,239,239,417,417,417,0,0,0,0.018,47.3,27.4,48.8,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1498,79.8,79,40,4.08,0.74,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,
-928,C07 - SGJ1500,Time stamp,8/13/2022,5:16:00.2,0,1500,251,1667,199,0.78,L,50,241,240,240,417,416,418,433,457,430,50,241,240,241,418,418,419,0,0,0,0.07,54.9,27.7,61,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1500,63.7,87,51,4.08,0.76,48,48,#####,#####,27.5,,,11110000,,0,,,,,,,
-929,C05 - SGC1616,Time stamp,8/13/2022,5:16:00.2,0,1500,312,1665,245,0.79,L,50,240,240,239,415,415,416,703,336,637,50,240,240,240,417,417,417,0,0,0,0.016,50.6,27,55.1,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1499,94.6,82,44,4.04,1,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147908
-930,C02 - SGF 1560,Time stamp,8/13/2022,5:16:00.1,0,1500,252,,199,0.78,L,50,239,239,240,415,415,415,452,440,447,50,239,239,239,416,415,416,0,0,0,0.066,53.2,27.8,55.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1499,62.6,88,46,4.32,0.76,49,#####,#####,#####,#####,#####,#####,101110,,0,11011110 00000000,1321,#####,32768,11111110 00000000,11111110 00000000,
-931,C04 - SGC 1615,Time stamp,8/13/2022,5:16:00.0,0,1499,310,1668,244,0.79,L,50,240,240,240,416,415,416,589,554,536,50,240,239,239,416,417,417,0,0,0,0.014,47.3,27.4,48.8,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,79.5,79,40,4.04,0.74,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,
-932,C04 - SGC 1615,Time stamp,8/13/2022,5:15:00.3,0,1502,325,1768,246,0.8,L,50,240,240,240,416,415,416,607,570,548,50,240,239,239,417,417,417,0,0,0,0.046,47.2,27.4,48.8,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,83.7,79,40,4.04,0.8,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,
-933,C07 - SGJ1500,Time stamp,8/13/2022,5:15:00.1,0,1500,275,1759,189,0.82,L,50,241,240,240,416,416,418,462,489,470,50,240,240,241,418,418,419,0,0,0,0.07,54.8,27.7,61,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1501,68.5,86,51,4.04,0.84,53,48,#####,#####,27.5,,,11110000,,0,,,,,,,
-934,C05 - SGC1616,Time stamp,8/13/2022,5:15:00.1,0,1501,326,1764,242,0.8,L,50,240,240,239,415,414,416,732,349,649,50,240,240,239,417,417,417,0,0,0,0.046,50.6,27,55.1,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1499,97.8,82,44,4.04,1.04,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147902
-935,C02 - SGF 1560,Time stamp,8/13/2022,5:15:00.1,0,1502,267,,203,0.8,L,50,239,239,239,414,414,415,481,463,470,50,239,239,239,416,415,416,0,0,0,0.08,53.6,27.7,55.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1502,65.6,87,46,4.32,0.84,51,#####,#####,#####,#####,#####,#####,101110,,0,11011110 00000000,1308,#####,32768,11111110 00000000,11111110 00000000,
-936,C02 - SGF 1560,Time stamp,8/13/2022,5:14:00.3,0,1502,258,,177,0.82,L,50,239,240,239,414,414,415,450,439,442,50,239,239,238,416,415,415,0,0,0,0.076,53.7,27.8,55.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1501,64.1,87,46,4.28,0.8,50,#####,#####,#####,#####,#####,#####,101110,,0,11011110 00000000,1157,#####,32768,11111110 00000000,11111110 00000000,
-937,C04 - SGC 1615,Time stamp,8/13/2022,5:14:00.2,0,1500,312,1686,216,0.82,L,50,240,240,240,416,415,416,558,524,503,50,240,239,239,417,416,417,0,0,0,-0.004,47.3,27.4,48.8,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1501,81,79,40,4.04,0.78,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,
-938,C07 - SGJ1500,Time stamp,8/13/2022,5:14:00.0,0,1501,254,1667,172,0.83,L,50.1,241,241,240,417,417,418,433,457,435,50.1,241,241,241,418,419,419,0,0,0,0.056,54.5,27.7,61,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1503,65.2,86,51,4.12,0.78,50,48,#####,#####,27.5,,,11110000,,0,,,,,,,
-939,C05 - SGC1616,Time stamp,8/13/2022,5:14:00.0,0,1502,308,1667,213,0.82,L,50.1,240,240,240,416,415,417,698,330,623,50.1,240,240,240,418,417,418,0,0,0,0.024,50.7,27,55.1,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1502,93.2,82,44,4.04,1.04,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147897
-940,C07 - SGJ1500,Time stamp,8/13/2022,5:13:00.3,0,1501,259,1716,182,0.82,L,50,241,241,240,417,417,417,441,467,441,50,241,240,241,418,419,419,0,0,0,0.122,54.5,27.7,61,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1499,66.6,86,51,4.12,0.76,49,48,#####,#####,27.5,,,11110000,,0,,,,,,,
-941,C05 - SGC1616,Time stamp,8/13/2022,5:13:00.3,0,1501,320,1709,230,0.81,L,50,240,240,239,415,414,417,729,341,644,50,240,240,240,417,417,417,0,0,0,0.018,50.6,27,55.1,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1498,95.9,83,44,4,1,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147892
-942,C04 - SGC 1615,Time stamp,8/13/2022,5:13:00.2,0,1498,324,1735,222,0.82,L,49.9,239,239,240,415,414,415,574,539,523,49.9,239,239,239,416,416,416,0,0,0,-0.002,47.3,27.4,48.8,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1497,82,79,40,3.96,0.78,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,
-943,C02 - SGF 1560,Time stamp,8/13/2022,5:13:00.2,0,1497,259,,182,0.82,L,50,239,239,239,415,414,415,442,428,434,50,239,239,238,416,415,415,0,0,0,0.068,53.7,27.8,55.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1498,65.8,87,46,4.24,0.78,49,#####,#####,#####,#####,#####,#####,101110,,0,11011110 00000000,1210,#####,32768,11111110 00000000,11111110 00000000,
-944,C07 - SGJ1500,Time stamp,8/13/2022,5:12:00.3,0,1503,275,1813,190,0.82,L,50,241,240,240,417,416,417,449,475,449,50,240,240,241,418,418,419,0,0,0,0.072,54.5,27.7,61,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1500,68.8,86,51,4.04,0.86,54,48,#####,#####,27.4,,,11110000,,0,,,,,,,
-945,C05 - SGC1616,Time stamp,8/13/2022,5:12:00.3,0,1501,346,1804,231,0.83,L,50,240,240,240,415,414,417,737,349,659,50,240,240,239,417,416,417,0,0,0,-0.028,50.6,27,55.1,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1500,101.9,83,44,4.08,1.14,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147886
-946,C04 - SGC 1615,Time stamp,8/13/2022,5:12:00.1,0,1499,333,1814,233,0.82,L,50,240,240,240,416,415,416,579,549,525,50,240,239,239,417,417,417,0,0,0,0.036,47.4,27.4,48.8,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1499,87.2,80,40,3.96,0.84,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,
-947,C02 - SGF 1560,Time stamp,8/13/2022,5:12:00.1,0,1500,272,,188,0.82,L,50,240,240,239,415,415,415,466,450,452,50,239,239,239,416,416,416,0,0,0,0.062,53.7,27.7,55.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1502,67.7,87,46,4.28,0.88,52,#####,#####,#####,#####,#####,#####,101110,,0,11011110 00000000,1259,#####,32768,11111110 00000000,11111110 00000000,
-948,C04 - SGC 1615,Time stamp,8/13/2022,5:11:00.3,0,1499,321,1737,229,0.81,L,50,240,240,240,416,415,416,588,546,533,50,240,239,239,416,417,417,0,0,0,0.002,47.2,27.4,48.8,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,82.4,80,40,3.96,0.8,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,
-949,C07 - SGJ1500,Time stamp,8/13/2022,5:11:00.2,0,1501,260,1738,185,0.81,L,50,241,241,240,417,417,418,437,458,435,50,241,240,241,418,418,419,0,0,0,0.07,54.6,27.7,61,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1501,65.2,86,51,4.12,0.82,51,48,#####,#####,27.5,,,11110000,,0,,,,,,,
-950,C05 - SGC1616,Time stamp,8/13/2022,5:11:00.1,0,1499,320,1739,229,0.81,L,50,240,240,239,415,415,417,705,333,619,50,240,240,240,417,417,417,0,0,0,-0.008,50.6,27,55.6,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1501,98.9,84,45,4.08,1.1,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147881
-951,C02 - SGF 1560,Time stamp,8/13/2022,5:11:00.1,0,1499,263,,183,0.82,L,50,239,239,240,415,415,415,454,437,442,50,239,239,239,416,416,416,0,0,0,0.062,53.6,27.8,55.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1499,65.6,88,46,4.2,0.84,51,#####,#####,#####,#####,#####,#####,101110,,0,11011110 00000000,1230,#####,32768,11111110 00000000,11111110 00000000,
-952,C04 - SGC 1615,Time stamp,8/13/2022,5:10:00.3,0,1501,350,1874,250,0.81,L,50,240,240,240,416,415,416,639,600,575,50,240,239,239,417,417,417,0,0,0,-0.006,47.3,27.4,48.8,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,87.9,81,40,3.96,0.92,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,
-953,C07 - SGJ1500,Time stamp,8/13/2022,5:10:00.2,0,1500,284,1887,200,0.82,L,50,241,240,240,416,416,418,470,498,475,50,240,240,241,418,418,419,0,0,0,0.07,54.7,27.7,61,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1500,70,86,52,4.12,0.9,54,48,#####,#####,27.5,,,11110000,,0,,,,,,,
-954,C05 - SGC1616,Time stamp,8/13/2022,5:10:00.2,0,1500,355,1888,246,0.82,L,50,240,240,239,415,414,416,752,352,677,50,240,240,239,417,416,417,0,0,0,-0.06,50.6,27,55.6,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1500,105,85,45,4.04,1.18,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147875
-955,C02 - SGF 1560,Time stamp,8/13/2022,5:10:00.0,0,1499,277,,204,0.81,L,50,239,240,240,414,415,415,500,482,485,50,239,239,239,416,415,416,0,0,0,0.074,53.5,27.7,55.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1501,68.6,88,47,4.16,0.9,53,#####,#####,#####,#####,#####,#####,101110,,0,11011110 00000000,1337,#####,32768,11111110 00000000,11111110 00000000,
-956,C02 - SGF 1560,Time stamp,8/13/2022,5:09:00.3,0,1499,322,,212,0.84,L,50,239,240,240,415,415,415,547,530,533,50,239,239,239,416,415,415,0,0,0,0.064,53.2,27.8,55.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1500,80.9,88,47,4.16,1.12,60,#####,#####,#####,#####,#####,#####,101110,,0,11011110 00000000,1434,#####,32768,11111110 00000000,11111110 00000000,
-957,C04 - SGC 1615,Time stamp,8/13/2022,5:09:00.2,0,1500,399,2134,264,0.83,L,50,240,240,240,417,415,416,717,676,654,50,240,239,239,417,417,417,0,0,0,-0.018,47.4,27.4,48.8,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1502,97.2,81,40,3.92,1.06,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,
-958,C07 - SGJ1500,Time stamp,8/13/2022,5:09:00.1,0,1501,329,2163,220,0.83,L,49.9,240,240,240,416,416,417,542,568,552,49.9,240,240,240,417,418,418,0,0,0,0.072,54.9,27.7,61,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1498,82.3,87,52,4.08,1.1,62,48,#####,#####,27.4,,,11110000,,0,,,,,,,
-959,C05 - SGC1616,Time stamp,8/13/2022,5:09:00.1,0,1502,402,2172,269,0.83,L,49.9,240,239,239,414,413,416,864,393,767,50,240,239,239,417,416,417,0,0,0,-0.014,50.7,26.9,55.6,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1498,118.4,85,46,3.96,1.32,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147869
-960,C02 - SGF 1560,Time stamp,8/13/2022,5:08:00.3,0,1499,336,,211,0.85,L,50,239,239,239,414,414,415,572,563,563,50,239,239,238,415,415,415,0,0,0,0.06,53.2,27.8,55.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1499,82.8,88,47,4.12,1.12,62,#####,#####,#####,#####,#####,#####,101110,,0,11011110 00000000,1445,#####,32768,11111110 00000000,11111110 00000000,
-961,C04 - SGC 1615,Time stamp,8/13/2022,5:08:00.1,0,1499,416,2215,264,0.84,L,49.9,239,239,240,415,414,415,730,683,658,49.9,240,239,239,416,416,416,0,0,0,-0.002,47.5,27.4,48.8,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1497,103.4,81,40,3.92,1.1,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,
-962,C07 - SGJ1500,Time stamp,8/13/2022,5:08:00.1,0,1499,334,2200,224,0.83,L,49.9,241,240,240,416,416,418,558,584,558,49.9,241,240,241,418,418,419,0,0,0,0.066,54.9,27.7,61,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1498,85.7,87,52,4.08,1.1,63,48,#####,#####,27.5,,,11110000,,0,,,,,,,
-963,C05 - SGC1616,Time stamp,8/13/2022,5:08:00.0,0,1498,410,2196,273,0.83,L,49.9,240,240,239,415,414,417,900,410,800,49.9,240,240,239,417,416,417,0,0,0,-0.014,50.6,27,55.6,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1499,120.2,85,46,3.96,1.34,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147863
-964,C07 - SGJ1500,Time stamp,8/13/2022,5:07:00.3,0,1497,338,2239,217,0.84,L,50,241,241,240,417,417,418,539,569,544,50,241,240,241,418,418,419,0,0,0,0.126,55.1,27.7,60.5,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1497,88.5,87,52,4,1.12,64,48,#####,#####,27.4,,,11110000,,0,,,,,,,
-965,C05 - SGC1616,Time stamp,8/13/2022,5:07:00.3,0,1497,420,2243,281,0.83,L,50,240,240,240,415,414,417,900,403,805,50,240,240,239,417,416,417,0,0,0,-0.028,50.7,26.9,55.6,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1498,127.3,85,46,3.96,1.4,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147856
-966,C02 - SGF 1560,Time stamp,8/13/2022,5:07:00.1,0,1498,341,,216,0.85,L,49.9,239,239,239,414,413,414,576,562,562,49.9,238,239,238,415,415,415,0,0,0,0.082,53,27.8,55.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1496,83.8,88,47,4.12,1.14,62,#####,#####,#####,#####,#####,#####,101110,,0,11011110 00000000,1452,#####,32768,11111110 00000000,11111110 00000000,
-967,C04 - SGC 1615,Time stamp,8/13/2022,5:07:00.0,0,1494,412,2253,266,0.84,L,49.9,239,239,239,415,414,415,687,641,628,49.9,240,239,239,417,416,416,0,0,0,0.002,47.2,27.4,48.8,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1497,102.6,81,40,3.88,1.06,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,
-968,C04 - SGC 1615,Time stamp,8/13/2022,5:06:00.3,0,1498,401,2123,259,0.84,L,49.9,240,240,240,416,414,415,700,673,644,49.9,240,239,239,416,416,417,0,0,0,-0.008,47.3,27.4,48.8,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1498,99.4,81,40,3.92,1.06,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,
-969,C05 - SGC1616,Time stamp,8/13/2022,5:06:00.3,0,1498,393,2126,272,0.82,L,50,240,240,239,415,414,416,853,388,752,50,240,240,239,417,416,417,0,0,0,0.034,50.7,26.9,55.6,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1498,118,85,46,4,1.32,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147849
-970,C07 - SGJ1500,Time stamp,8/13/2022,5:06:00.2,0,1498,323,2116,214,0.83,L,50,241,241,240,417,416,418,534,562,535,50,241,240,241,418,418,419,0,0,0,0.09,55.2,27.7,60.5,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1499,82.8,87,52,4.04,1.06,61,48,#####,#####,27.4,,,11110000,,0,,,,,,,
-971,C02 - SGF 1560,Time stamp,8/13/2022,5:06:00.2,0,1498,320,,213,0.83,L,50,239,239,239,415,414,415,562,546,551,50,239,239,238,416,415,416,0,0,0,0.074,52.9,27.9,55.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1500,80.6,88,47,4.12,1.1,59,#####,#####,#####,#####,#####,#####,101110,,0,11011110 00000000,1426,#####,32768,11111110 00000000,11111110 00000000,
-972,C05 - SGC1616,Time stamp,8/13/2022,5:05:00.1,0,1496,395,2146,269,0.83,L,49.9,240,240,239,415,414,416,841,390,749,49.9,240,240,239,418,416,417,0,0,0,-0.004,50.8,26.9,55.6,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1498,118.5,84,46,4.04,1.3,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147842
-973,C04 - SGC 1615,Time stamp,8/13/2022,5:05:00.0,0,1498,402,2119,261,0.84,L,50,240,240,240,416,415,416,711,676,656,50,240,239,239,416,417,417,0,0,0,0.002,47.2,27.4,48.8,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1499,99.4,81,40,3.92,1.04,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,
-974,C07 - SGJ1500,Time stamp,8/13/2022,5:05:00.0,0,1499,320,2131,212,0.83,L,49.9,241,240,240,416,416,417,521,548,523,49.9,240,240,240,418,418,418,0,0,0,0.126,55.1,27.7,60.5,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1497,81.1,87,52,4.04,1.02,60,48,#####,#####,27.4,,,11110000,,0,,,,,,,
-975,C02 - SGF 1560,Time stamp,8/13/2022,5:05:00.0,0,1500,317,,218,0.82,L,49.9,239,239,239,414,414,414,557,539,545,49.9,239,239,238,416,415,416,0,0,0,0.118,52.9,27.7,55.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1498,79.4,88,47,4.16,1.06,58,#####,#####,#####,#####,#####,#####,101110,,0,11011110 00000000,1420,#####,32768,11111110 00000000,11111110 00000000,
-976,C07 - SGJ1500,Time stamp,8/13/2022,5:04:00.2,0,1502,353,2333,222,0.85,L,50,241,241,240,417,417,418,570,600,578,50,241,240,241,418,418,419,0,0,0,0.074,55.1,27.6,60.5,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1501,88,87,52,4.08,1.24,65,48,#####,#####,27.5,,,11110000,,0,,,,,,,
-977,C05 - SGC1616,Time stamp,8/13/2022,5:04:00.2,0,1500,443,2330,270,0.85,L,50,240,240,239,416,414,417,942,433,836,50,240,240,240,418,417,418,0,0,0,-0.006,50.7,26.9,55.6,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1500,129.2,84,45,3.96,1.44,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147835
-978,C04 - SGC 1615,Time stamp,8/13/2022,5:04:00.0,0,1501,429,2337,274,0.84,L,50,240,240,240,416,414,416,757,719,692,50,240,239,239,417,417,417,0,0,0,0.054,47.3,27.4,48.8,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,104.7,81,41,3.92,1.14,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,
-979,C02 - SGF 1560,Time stamp,8/13/2022,5:04:00.0,0,1500,352,,221,0.85,L,50,239,239,239,414,414,415,576,561,564,50,238,239,238,415,415,415,0,0,0,0.076,53.2,27.8,55.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1500,87,88,47,4.2,1.26,64,#####,#####,#####,#####,#####,#####,101110,,0,11011110 00000000,1471,#####,32768,11111110 00000000,11111110 00000000,
-980,C04 - SGC 1615,Time stamp,8/13/2022,5:03:00.3,0,1501,417,2291,259,0.85,L,50.1,240,239,240,415,414,415,711,668,648,50.1,239,239,239,416,416,416,0,0,0,0.014,47.8,27.4,48.8,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1503,100.7,80,40,3.84,1.12,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,
-981,C02 - SGF 1560,Time stamp,8/13/2022,5:03:00.3,0,1502,345,,207,0.86,L,50.1,239,239,239,414,414,415,566,552,550,50.1,238,239,238,415,415,415,0,0,0,0.06,53.8,27.8,55.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1501,85.1,88,47,4.2,1.24,63,#####,#####,#####,#####,#####,#####,101110,,0,11011110 00000000,1448,#####,32768,11111110 00000000,11111110 00000000,
-982,C05 - SGC1616,Time stamp,8/13/2022,5:03:00.2,0,1501,419,2302,262,0.85,L,50.1,239,239,239,414,413,416,864,393,764,50.1,239,240,239,417,417,417,0,0,0,0.052,50.6,27,55.6,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1502,124.6,83,45,4.04,1.4,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147828
-983,C07 - SGJ1500,Time stamp,8/13/2022,5:03:00.1,0,1504,355,2305,221,0.85,L,50,241,240,240,416,416,417,566,590,568,50,241,240,240,418,419,419,0,0,0,0.042,54.8,27.7,60.5,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1503,87.2,87,52,4.08,1.24,66,48,#####,#####,27.4,,,11110000,,0,,,,,,,
-984,C04 - SGC 1615,Time stamp,8/13/2022,5:02:00.3,0,1496,373,2010,223,0.86,L,49.9,239,239,240,415,414,415,611,570,560,49.9,239,239,239,416,416,416,0,0,0,0.016,47.5,27.4,48.8,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1496,94.4,80,40,3.88,0.94,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,
-985,C02 - SGF 1560,Time stamp,8/13/2022,5:02:00.2,0,1497,297,,177,0.86,L,50,239,240,239,415,415,415,491,476,480,50,239,239,239,416,415,416,0,0,0,0.058,53.8,27.8,55.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1500,77.2,88,46,4.12,0.96,56,#####,#####,#####,#####,#####,#####,101110,,0,11011110 00000000,1224,#####,32768,11111110 00000000,11111110 00000000,
-986,C07 - SGJ1500,Time stamp,8/13/2022,5:02:00.1,0,1502,300,1954,191,0.84,L,49.9,241,240,240,416,416,418,509,535,508,49.9,240,240,241,418,418,419,0,0,0,0.068,54.6,27.7,60.5,0,#####,#####,#####,01100001 0000,01010001 0010,AUT,1501,77.7,86,52,4.08,0.94,56,48,#####,#####,27.5,,,11110000,,0,,,,,,,
-987,C05 - SGC1616,Time stamp,8/13/2022,5:02:00.1,0,1499,369,1958,230,0.85,L,50,240,240,240,415,414,417,795,365,712,50,240,240,240,418,416,417,0,0,0,0.04,50.5,26.8,55.6,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1500,109.2,83,45,4.12,1.22,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147822
-988,C05 - SGC1616,Time stamp,8/13/2022,5:01:00.3,0,1498,354,1960,242,0.83,L,50,239,240,239,415,414,416,747,345,669,50,240,240,239,417,416,417,0,0,0,0.028,50.6,26.9,55.6,0,#####,#####,#####,10100000 0000,10010001 0111,AUT,1498,108.2,83,45,4.04,1.2,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,4147816
-989,C04 - SGC 1615,Time stamp,8/13/2022,5:01:00.1,0,1498,363,1938,239,0.84,L,50,240,239,240,416,414,415,637,608,582,50,240,239,239,416,417,417,0,0,0,-0.006,47.1,27.4,48.8,0,#####,#####,#####,10100001 0000,10010001 0111,AUT,1500,90.7,81,40,3.88,0.94,#####,,,,,,,10111100,,11100,11011110 00000000,,,,,,
-990,C02 - SGF 1560,Time stamp,8/13/2022,5:01:00.1,0,1501,293,,199,0.83,L,50,239,239,239,414,414,415,520,503,507,49.9,239,239,238,415,415,415,0,0,0,0.076,53.4,27.8,55.1,28,#####,#####,#####,00100000 0010,10010001 0111,AUT,1500,72.1,88,46,4.16,1,55,#####,#####,#####,#####,#####,#####,101110,,0,11011110 00000000,1280,#####,32768,11111110 00000000,11111110 00000000,
